"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"mc","block","string",8.62718729968056,0.0629269579347369,NA,8.50473013999742,8.75140768473486
"z","block","string",10.8064510914127,0.0722887372298608,NA,10.6656925286687,10.9490672900236
"knn","block","string",10.6531169752489,0.0716455970743129,NA,10.5136156154381,10.7944693281054
"wsld","block","string",10.5650404940588,0.0712752297450704,NA,10.4262631287332,10.7056650367373
"COSNet","block","string",6.07710659392088,0.0511327891707088,NA,5.97771000297311,6.17815593856315
"bagsvm","block","string",11.1053993028711,0.0735368317627423,NA,10.9622010084565,11.2504681843611
"rf","block","string",12.435076930523,0.0790038984522312,NA,12.2811922294026,12.5908898240206
"svm","block","string",10.9561171313625,0.0729145284094077,NA,10.814135289098,11.0999630934103
"pr","representative","string",1.68491949958168,0.0235862927518721,NA,1.63931962604424,1.73178779474574
"randomraw","representative","string",0.972599349292886,0.0176608523210588,NA,0.938593436294171,1.00783732089563
"random","representative","string",0.770784984310622,0.0156561844370997,NA,0.740702209244121,0.80208953696116
"EGAD","representative","string",5.80075671605109,0.0472540449873468,NA,5.70887593651374,5.8941162591388
"ppr","representative","string",8.3929154370057,0.0593318325731881,NA,8.27742909157593,8.51001304310992
"raw","representative","string",9.56558718228697,0.0645088190529641,NA,9.43998413991241,9.69286142707247
"gm","representative","string",4.95688161646193,0.043040001734456,NA,4.87323850650059,5.04196035692539
"mc","representative","string",7.34054842466803,0.0545534231369203,NA,7.23440063350705,7.44825368466979
"z","representative","string",9.1948018258812,0.0628865334309128,NA,9.07236891863194,9.31888698260488
"knn","representative","string",9.06433560719879,0.0623126461181634,NA,8.94302416000153,9.18729263501372
"wsld","representative","string",8.98939464987495,0.061982249829343,NA,8.86872884975863,9.11170219996067
"COSNet","representative","string",5.17078089126423,0.0441259095880169,NA,5.08501494701442,5.2579933990482
"bagsvm","representative","string",9.44916558853645,0.0640007935517135,NA,9.32455527951997,9.57544114899364
"rf","representative","string",10.5805381524934,0.0688899505552489,NA,10.4463742069575,10.7164251805003
"svm","representative","string",9.32214701680106,0.063445128796825,NA,9.19862254103007,9.44733025137494
"pr","classic","omnipath",2.84647371656273,0.0392539164658202,NA,2.77056788999449,2.92445915089941
"randomraw","classic","omnipath",1.64309243568939,0.0295731416768826,NA,1.58614057565411,1.70208920549577
"random","classic","omnipath",1.3021507552771,0.026263267919844,NA,1.2516798460474,1.3546567797054
"EGAD","classic","omnipath",9.79969757161312,0.0762725278192705,NA,9.65134061119295,9.95033502223581
"ppr","classic","omnipath",14.1788454597989,0.0942565335089836,NA,13.995304344835,14.3647936207299
"raw","classic","omnipath",16.1599367237599,0.101815951101523,NA,15.9616082050423,16.360729543119
"gm","classic","omnipath",8.37406964598304,0.0698667822566901,NA,8.2382468122413,8.51213177196572
"mc","classic","omnipath",12.4009949206245,0.0872034323679775,NA,12.2312517556882,12.573093751409
"z","classic","omnipath",15.5335383873662,0.099455773017155,NA,15.3398266366654,15.7296963353578
"knn","classic","omnipath",15.3131310251919,0.0986189956863325,NA,15.1210561263939,15.5076457513697
"wsld","classic","omnipath",15.1865270744576,0.0981368011814571,NA,14.9953954202977,15.3800948970677
"COSNet","classic","omnipath",8.73542736299427,0.0715245258292941,NA,8.59636071853114,8.87674374222721
"bagsvm","classic","omnipath",15.9632561068323,0.101077676965363,NA,15.7663717232223,16.162599106869
"rf","classic","omnipath",17.8745772516959,0.108152705301101,NA,17.6638538034703,18.0878145551723
"svm","classic","omnipath",15.7486731394858,0.100269313731071,NA,15.5533700027344,15.9464286910655
"pr","block","omnipath",1.45438124324324,0.0203527409681157,NA,1.4150326949623,1.49482397702061
"randomraw","block","omnipath",0.839523936397757,0.0152415810411215,NA,0.810176225769026,0.869934734403966
"random","block","omnipath",0.665322719591778,0.013512027078003,NA,0.63935978672735,0.692339947544693
"EGAD","block","omnipath",5.00707111914635,0.0407508420149112,NA,4.92783458647966,5.08758172625666
"ppr","block","omnipath",7.24455903723487,0.0511509317717901,NA,7.1449955478186,7.34550991567866
"raw","block","omnipath",8.2567805654692,0.0556073364067469,NA,8.14850835014427,8.3664914333803
"gm","block","omnipath",4.27865880224503,0.0371208589534738,NA,4.20651834245019,4.35203644812008
"mc","block","omnipath",6.33618160784918,0.0470368912874841,NA,6.24465843468036,6.42904616602961
"z","block","omnipath",7.9367277274792,0.0542109395284417,NA,7.83118428646866,8.04369361208611
