"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"random","representative","string",0.548393178953963,0.00159610068607043,Inf,0.545263007302659,0.551519526172994
"EGAD","representative","string",0.74828266381765,0.0013119397614161,Inf,0.745702604214995,0.750845292791594
"ppr","representative","string",0.861624052947522,0.000979778731474545,Inf,0.859692513520182,0.863533222835655
"raw","representative","string",0.876217496796522,0.0009248275738911,Inf,0.874393441804257,0.878018758212197
"gm","representative","string",0.578195820145226,0.00157507164600359,Inf,0.575105719132081,0.581279810143435
"mc","representative","string",0.882001080653423,0.000902060864985012,Inf,0.880221568760746,0.883757646244061
"z","representative","string",0.877928616931943,0.000918152987613271,Inf,0.87611762011535,0.879716774065654
"knn","representative","string",0.875299950250334,0.00092838590696631,Inf,0.873468933956136,0.877108198008028
"wsld","representative","string",0.874726142017852,0.000930603893689443,Inf,0.872890786673419,0.876538744597164
"COSNet","representative","string",0.612269753461456,0.00154214380867647,Inf,0.609242921378381,0.615287944716481
"bagsvm","representative","string",0.880338934349763,0.000908664318358747,Inf,0.878546502137366,0.882108463244115
"rf","representative","string",0.851925072924862,0.00101446870402704,Inf,0.849925701787686,0.853902386061276
"svm","representative","string",0.806886156080576,0.00115889863739076,Inf,0.804604590359166,0.80914740000926
"pr","classic","omnipath",0.688607583947487,0.00146430407110164,Inf,0.685730380437032,0.691470297809868
"randomraw","classic","omnipath",0.614276802329475,0.00156046306865287,Inf,0.611213875337749,0.617330706543486
"random","classic","omnipath",0.505069140931156,0.00161663687734813,Inf,0.501900429699244,0.508237444990499
"EGAD","classic","omnipath",0.714138748079558,0.00141981332072562,Inf,0.711347861675536,0.716913388863546
"ppr","classic","omnipath",0.839557789316128,0.00110328008723235,Inf,0.837383595181511,0.841708409278472
"raw","classic","omnipath",0.856089704774517,0.00104699067451091,Inf,0.854025445042852,0.858129622560993
"gm","classic","omnipath",0.535308160833303,0.00161097098232402,Inf,0.532149342453499,0.538464149149314
"mc","classic","omnipath",0.862666334220577,0.00102340647643852,Inf,0.860648150511018,0.864659885599524
"z","classic","omnipath",0.858033982891151,0.00104009201173113,Inf,0.855983200048987,0.860060337031862
"knn","classic","omnipath",0.855047641434771,0.00105066312907197,Inf,0.852976207687373,0.857094780046691
"wsld","classic","omnipath",0.854396144152953,0.00105295036327227,Inf,0.852320242481462,0.85644778006439
"COSNet","classic","omnipath",0.57027170538024,0.00159502089867486,Inf,0.567142759397033,0.573395046665366
"bagsvm","classic","omnipath",0.8607748275415,0.00103026247813136,Inf,0.858743248492125,0.862781856881919
"rf","classic","omnipath",0.828619787382203,0.00113833094519262,Inf,0.8263771674161,0.830839369882421
"svm","classic","omnipath",0.778336656902025,0.00127975832074689,Inf,0.775818230098529,0.780834784316945
"pr","block","omnipath",0.587181047305212,0.00163162142224922,Inf,0.583979492219029,0.590375246363346
"randomraw","block","omnipath",0.506007723864201,0.00162857071933916,Inf,0.502815582395396,0.50919937559898
"random","block","omnipath",0.396273577736541,0.00154083804729584,Inf,0.393257579734699,0.399297484044564
"EGAD","block","omnipath",0.616395593293663,0.00161941812172596,Inf,0.613216672993077,0.619564595559838
"ppr","block","omnipath",0.770943767691253,0.00142288823695013,Inf,0.768143032105059,0.773720637696773
"raw","block","omnipath",0.792800813577474,0.00137402647962252,Inf,0.790094842448054,0.795480930746368
"gm","block","omnipath",0.425600147406217,0.00157363965741629,Inf,0.422518803566893,0.428687281286127
"mc","block","omnipath",0.801599424246989,0.00135254630944624,Inf,0.798935149909143,0.804237045252554
"z","block","omnipath",0.795395789717007,0.0013678035503593,Inf,0.792701896266844,0.798063593368982
"knn","block","omnipath",0.791412131951411,0.00137731870082073,Inf,0.788699771893057,0.794098764280795
"wsld","block","omnipath",0.790544683831993,0.00137936188978299,Inf,0.787828358992402,0.7932353598023
"COSNet","block","omnipath",0.460499038895304,0.00160376860322368,Inf,0.457357322262494,0.463643897373618
"bagsvm","block","omnipath",0.79906274754069,0.00135885053490601,Inf,0.796386233484292,0.80171283864703
"rf","block","omnipath",0.756683733420482,0.00145152655044458,Inf,0.753827521889478,0.759517377708717
"svm","block","omnipath",0.693111375948112,0.00155150976207938,Inf,0.690062106364089,0.69614385564562
"pr","representative","omnipath",0.640008823033825,0.0015599736595837,Inf,0.636945684522162,0.643060600271132
"randomraw","representative","omnipath",0.561465148664741,0.00161046734898291,Inf,0.558306244846212,0.564619078315608
"random","representative","omnipath",0.45067644361883,0.00159551285162114,Inf,0.447551284516781,0.453805499239107
"EGAD","representative","omnipath",0.667601189346542,0.00152963999277539,Inf,0.664596391931694,0.670592410062512
