"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"raw","representative","omnipath",0.267921202988151,0.00174659875843927,Inf,0.264511828642593,0.271358308497753
"gm","representative","omnipath",0.107531347553266,0.00106590768383924,Inf,0.105459985718992,0.109638407041717
"mc","representative","omnipath",0.196417941860097,0.00149272629273677,Inf,0.193508706259021,0.199360103549484
"z","representative","omnipath",0.252158985508153,0.00169656569426662,Inf,0.248848332080584,0.255498702092052
"knn","representative","omnipath",0.237534091914868,0.00164722537672128,Inf,0.234320709132384,0.240777684316681
"wsld","representative","omnipath",0.234085338972285,0.0016351725653536,Inf,0.230895705994755,0.237305438812229
"COSNet","representative","omnipath",0.12118007937272,0.00114122422891929,Inf,0.118961058149111,0.123434693661529
"bagsvm","representative","omnipath",0.262670268498662,0.00173028819509064,Inf,0.259293086855981,0.266075635778571
"rf","representative","omnipath",0.293995117461221,0.00182241445881858,Inf,0.290435956070068,0.297579602962691
"svm","representative","omnipath",0.246076945084393,0.00167639209081819,Inf,0.24280607174208,0.249377369118172
