"rep_cv","method","input_type","disease","auroc","partial_auroc_0.9","partial_auroc_0.95","auprc","top_20_hits","top_100_hits"
"Rep01","z","drugs","Alzheimers disease",0.928073001959811,0.0590312755079196,0.0221053990725972,0.242323355106608,8.33333333333333,15.6666666666667
"Rep01","z","drugs","asthma",0.915314988073051,0.0585613730292979,0.0177243614195658,0.0788961664559811,1.33333333333333,8.33333333333333
"Rep01","z","drugs","chronic obstructive pulmonary disease",0.921374690447893,0.0640437244946277,0.025965255878929,0.445927221008299,15,18.3333333333333
"Rep01","z","drugs","rheumatoid arthritis",0.882952116588419,0.0482434891523483,0.0193073797945407,0.117703145938663,5,13.3333333333333
"Rep01","z","genetic","Alzheimers disease",0.800260857349869,0.0159373024728189,0.00349661239638753,0.0292684859011889,0.666666666666667,2.33333333333333
"Rep01","z","genetic","asthma",0.811494510085334,0.0237433536024442,0.0055836215341749,0.0269268478970766,1,3.33333333333333
"Rep01","z","genetic","chronic obstructive pulmonary disease",0.50727932739521,0.00630942006304927,0.00162007354982658,0.013014635427414,0.666666666666667,1.33333333333333
"Rep01","z","genetic","rheumatoid arthritis",0.670362387669724,0.0198707612594885,0.00617031312892206,0.0249015702247277,1.66666666666667,4
"Rep01","EGAD","drugs","Alzheimers disease",0.816935825538223,0.040918668899609,0.0148346722461383,0.0785132407080688,3.66666666666667,11
"Rep01","EGAD","drugs","asthma",0.86891741280301,0.0414428665960626,0.0112062792446317,0.0597522512380036,3,5.33333333333333
"Rep01","EGAD","drugs","chronic obstructive pulmonary disease",0.890969059977178,0.0601771354574585,0.0243081008055005,0.294209722325834,13.3333333333333,19
"Rep01","EGAD","drugs","rheumatoid arthritis",0.734850488951085,0.030498277308681,0.00808154884097873,0.0343208528778725,0.666666666666667,5.66666666666667
"Rep01","EGAD","genetic","Alzheimers disease",0.716737981147553,0.00945354097327638,0.00137173554375289,0.0181231165357345,0,0.666666666666667
"Rep01","EGAD","genetic","asthma",0.770853114198229,0.0071578204833088,0.00152752813317909,0.0167842875906624,0,0.666666666666667
"Rep01","EGAD","genetic","chronic obstructive pulmonary disease",0.555017778261883,0.00449469144265778,0.00126351417216881,0.0118680620578548,0,1
"Rep01","EGAD","genetic","rheumatoid arthritis",0.648701767412413,0.0125569872837437,0.00319349939168357,0.0160320519711813,0.333333333333333,2
"Rep01","wsld","drugs","Alzheimers disease",0.926300517039303,0.0576763237249663,0.0227667420160159,0.192928472083475,8.66666666666667,14.6666666666667
"Rep01","wsld","drugs","asthma",0.897175797494927,0.0442954982158991,0.0118442834019,0.103367141952329,3.66666666666667,5.66666666666667
"Rep01","wsld","drugs","chronic obstructive pulmonary disease",0.921377801785763,0.0617728959111823,0.0266627314417729,0.304393456145552,10.6666666666667,20.3333333333333
"Rep01","wsld","drugs","rheumatoid arthritis",0.88087720836649,0.0386774575009469,0.0143131732607541,0.0855260054716782,3.66666666666667,7
"Rep01","wsld","genetic","Alzheimers disease",0.705599732774423,0.0165805889395969,0.00610276429259877,0.0224779223238349,0.666666666666667,5.66666666666667
"Rep01","wsld","genetic","asthma",0.624346337835087,0.00514721376216709,0.00205960055468848,0.0111929071800533,0.666666666666667,1.33333333333333
"Rep01","wsld","genetic","chronic obstructive pulmonary disease",0.641796052423155,0.00641516614629571,0.00275487187068387,0.0167872965323272,1.66666666666667,2.33333333333333
"Rep01","wsld","genetic","rheumatoid arthritis",0.648247733655393,0.0051238229936237,0.000935331732414772,0.0114992981666261,0,0.666666666666667
"Rep01","knn","drugs","Alzheimers disease",0.926679567265253,0.0582971120882237,0.0232021232453561,0.208073381204162,8.66666666666667,15
"Rep01","knn","drugs","asthma",0.895277215177861,0.0423534078833303,0.0120283306392604,0.101846515451779,3.66666666666667,5.33333333333333
"Rep01","knn","drugs","chronic obstructive pulmonary disease",0.923223023270491,0.06177973449529,0.0267292678998194,0.292938228491411,10.3333333333333,20
"Rep01","knn","drugs","rheumatoid arthritis",0.879800609829082,0.0389535594744043,0.0141089014448658,0.090067215243675,4.33333333333333,7.33333333333333
"Rep01","knn","genetic","Alzheimers disease",0.704710255892037,0.0166912314107661,0.00630333131923915,0.0238028721888955,1,5.66666666666667
"Rep01","knn","genetic","asthma",0.618855946511285,0.00494939406301297,0.00205683280998525,0.0110124393324736,0.666666666666667,1.33333333333333
"Rep01","knn","genetic","chronic obstructive pulmonary disease",0.649224020521281,0.00638036010172589,0.00274917555314608,0.0177884434444928,1.33333333333333,2.33333333333333
"Rep01","knn","genetic","rheumatoid arthritis",0.648530128098131,0.00570512214049978,0.001068936328639,0.0117537804177053,0,0.666666666666667
"Rep01","COSNet","drugs","Alzheimers disease",0.489164087602492,0.0281726536716208,0.0136780839138931,0.121916638678474,7,9.66666666666667
"Rep01","COSNet","drugs","asthma",0.421299529004928,0.017200164841754,0.0062307707242117,0.0352164621418098,1.33333333333333,3.66666666666667
"Rep01","COSNet","drugs","chronic obstructive pulmonary disease",0.569467536632375,0.0403608911699706,0.0201336184426978,0.38310252264154,15,15.6666666666667
"Rep01","COSNet","drugs","rheumatoid arthritis",0.628873680897032,0.0105420960828645,0.00330535005238729,0.0181821346900522,0.333333333333333,2
"Rep01","COSNet","genetic","Alzheimers disease",0.733925588618648,0.0172388805385522,0.00518316599124598,0.0428681313498954,1,3.66666666666667
"Rep01","COSNet","genetic","asthma",0.827735363640968,0.035294959240534,0.0110656548140535,0.0394223013859862,0,6.33333333333333
"Rep01","COSNet","genetic","chronic obstructive pulmonary disease",0.328728693937649,0.00750666418495132,0.00278301011851375,0.0149403482321898,0.666666666666667,2
"Rep01","COSNet","genetic","rheumatoid arthritis",0.72615628188828,0.0152658662235468,0.00414063214973745,0.0205152117165617,0.333333333333333,3
"Rep01","random","drugs","Alzheimers disease",0.484571042906745,0.00486526437859938,0.000960335401829316,0.00908693270657097,0.666666666666667,0.666666666666667
"Rep01","random","drugs","asthma",0.488236808685258,0.0025971967308746,0.000493509464173386,0.00685992971526205,0,0.333333333333333
"Rep01","random","drugs","chronic obstructive pulmonary disease",0.481733473293366,0.0029387479082743,0.000461578880111475,0.00943032226076048,0,0.333333333333333
"Rep01","random","drugs","rheumatoid arthritis",0.467715773851253,0.00275432710716681,0.000751545300669037,0.00760050578328277,0.333333333333333,0.333333333333333
"Rep01","random","genetic","Alzheimers disease",0.47853728101244,0.00407549032074059,0.000626123440868978,0.00820836709127444,0,0.333333333333333
"Rep01","random","genetic","asthma",0.54745077090854,0.00610947263466377,0.00161339950679341,0.00801571224888591,0.333333333333333,1
"Rep01","random","genetic","chronic obstructive pulmonary disease",0.482128869761315,0.00320090663917604,0.000300620951615528,0.00935418966337077,0,0.333333333333333
"Rep01","random","genetic","rheumatoid arthritis",0.514658166281383,0.00957439410270151,0.00335259863147724,0.0118588757266579,0.333333333333333,2.66666666666667
"Rep01","randomraw","drugs","Alzheimers disease",0.673987063104875,0.00772073453031879,0.00236743202460278,0.0249340999442347,1.66666666666667,1.66666666666667
"Rep01","randomraw","drugs","asthma",0.675131909501334,0.00143322723516163,0,0.0107807017355208,0,0
"Rep01","randomraw","drugs","chronic obstructive pulmonary disease",0.618827350409849,0.00919881995596345,0.000636133633896943,0.0184891171953812,0,0
"Rep01","randomraw","drugs","rheumatoid arthritis",0.69065206889864,0.0117809050864099,0.00258725537521774,0.0192910135857851,0.333333333333333,1.66666666666667
"Rep01","randomraw","genetic","Alzheimers disease",0.645037224985757,0.00302563860640672,0.000732508624941052,0.0133377839956765,0,0.333333333333333
"Rep01","randomraw","genetic","asthma",0.662694596539027,0.00214272252205945,0.000452668551357834,0.0097581051312586,0,0.333333333333333
"Rep01","randomraw","genetic","chronic obstructive pulmonary disease",0.73029575193747,0.0221970931932711,0.00673271897663647,0.037311590812971,0,5.33333333333333
"Rep01","randomraw","genetic","rheumatoid arthritis",0.657584049253685,0.00263175710704009,0.0006323600098234,0.0114685484144037,0,0.333333333333333
"Rep01","pr","drugs","Alzheimers disease",0.70602803458095,0.0127917110466816,0.00456734232472784,0.0249561630010317,1.66666666666667,3.66666666666667
"Rep01","pr","drugs","asthma",0.785592398284951,0.0142161063024998,0.00370324384291191,0.0196220601513823,0.333333333333333,2
