"network","method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"string","mc","representative",0.853095317004267,0.0193522983118457,NA,0.815996356346039,0.891880967647343
"omnipath","mc","representative",1.64597344092898,0.0275269087000848,NA,1.59289632472757,1.70081914697552
"string","z","representative",3.48353699708727,0.0421430495875209,NA,3.40190970279316,3.56712290161971
"omnipath","z","representative",2.51884651492635,0.0349108517800176,NA,2.45134350726954,2.5882083628596
"string","knn","representative",3.02290309259419,0.0387774624151008,NA,2.94784813977815,3.09986901425094
"omnipath","knn","representative",2.45752441922146,0.0344243832076173,NA,2.39097164097079,2.52592969635458
"string","wsld","representative",3.06593904985014,0.0390979821493571,NA,2.99025814395401,3.14353537549985
"omnipath","wsld","representative",2.34117817277599,0.0334902977839954,NA,2.27645002910654,2.40774678407236
"string","COSNet","representative",3.04251511419571,0.0389236809401072,NA,2.96717460492509,3.11976861919221
"omnipath","COSNet","representative",1.44753292942295,0.0256640292123821,NA,1.39809627243898,1.49871766563575
"string","bagsvm","representative",3.6071756008598,0.0430242021194863,NA,3.52382773243291,3.69249486735117
"omnipath","bagsvm","representative",2.67850494428408,0.0361598634884198,NA,2.60856231984142,2.75032292001764
"string","rf","representative",4.64147494841531,0.0501111301597267,NA,4.54429079781946,4.74073747813503
"omnipath","rf","representative",2.69960858442752,0.0363231582589147,NA,2.62934701735416,2.77174768526688
"string","svm","representative",3.72026238456057,0.0438228659891486,NA,3.63535506225657,3.80715280157123
"omnipath","svm","representative",2.24239987807301,0.0326850595550034,NA,2.17924475090721,2.30738525862622
