"network","method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"omnipath","ppr","block",0.158065164481963,0.00164030130410223,NA,0.15487672580372,0.161306714777995
"string","raw","block",0.282206311079428,0.00220732257541476,NA,0.277900231727283,0.286552635540015
"omnipath","raw","block",0.216244478228052,0.00193719939553132,NA,0.21247177741058,0.220065448760175
"string","gm","block",0.0906211038755564,0.00120619083359213,NA,0.0882846132201967,0.0930131222437608
"omnipath","gm","block",0.107340558132132,0.00132517154890341,NA,0.104770778549677,0.109965625957974
"string","mc","block",0.188917749081698,0.00180524483079828,NA,0.185404923864033,0.192481404261359
"omnipath","mc","block",0.174041274825547,0.00172794328718697,NA,0.170680532285576,0.177454031645579
"string","z","block",0.278697365417399,0.00219456604099954,NA,0.27441652870135,0.283018934185416
"omnipath","z","block",0.191097299156674,0.00181623697778988,NA,0.187562839144082,0.194682402897124
"string","knn","block",0.243918849864017,0.00205850233684837,NA,0.23990689544349,0.247976007750163
"omnipath","knn","block",0.196701310054271,0.00184411953659052,NA,0.193111960965562,0.20034080944684
"string","wsld","block",0.244796412767653,0.00206215552442274,NA,0.240777246813305,0.248860677587153
"omnipath","wsld","block",0.189612769706481,0.00180875910475077,NA,0.18609302792857,0.193183282406999
"string","COSNet","block",0.137261348590183,0.00151836616360129,NA,0.13431244218807,0.140264509509739
"omnipath","COSNet","block",0.0868932081621794,0.00117837988397829,NA,0.0846112281745871,0.089230734204172
"string","bagsvm","block",0.277595499979781,0.00219052421488311,NA,0.273322659890052,0.281909223720293
"omnipath","bagsvm","block",0.210984218913267,0.00191276822187427,NA,0.207259661642145,0.214757576031016
"string","rf","block",0.352616181107638,0.00242747546188037,NA,0.347873157796215,0.357388432093338
"omnipath","rf","block",0.200403100221155,0.00186224134952412,NA,0.196778068576758,0.204077944849411
"string","svm","block",0.300487278736208,0.00227098409938878,NA,0.296055122497043,0.304957042828669
"omnipath","svm","block",0.161530055244212,0.00165973288441027,NA,0.158303424679417,0.164809575227215
"string","pr","representative",0.0449250900894731,0.000930584433038399,NA,0.0431360557086457,0.0467846954203006
"omnipath","pr","representative",0.0607334681558641,0.00108626806015198,NA,0.05863900256576,0.0628977452963934
"string","randomraw","representative",0.0258762135052082,0.000701886674178925,NA,0.0245355638841288,0.0272880684102099
"omnipath","randomraw","representative",0.0241581230638718,0.000677747291920643,NA,0.0228647825417963,0.0255227101901408
"string","random","representative",0.0200988209849286,0.00061720357429959,NA,0.0189241195491475,0.0213448547247634
"omnipath","random","representative",0.0204860517935449,0.00062321880021397,NA,0.0192995642652148,0.0217438642631133
"string","EGAD","representative",0.230677730252454,0.00209732861245002,NA,0.226592708334447,0.234814037777325
"omnipath","EGAD","representative",0.106483432866489,0.00144706758846096,NA,0.103680321875286,0.10935308306436
"string","ppr","representative",0.338140480425005,0.00243081819280272,NA,0.333392702969744,0.342921088474981
"omnipath","ppr","representative",0.205867546578557,0.00199382934808464,NA,0.20198717929515,0.209802860910488
"string","raw","representative",0.351861716358961,0.0024612370429862,NA,0.347053027698234,0.356700634630728
"omnipath","raw","representative",0.275876317505192,0.00225908871950683,NA,0.271470650690532,0.280325971739701
"string","gm","representative",0.12095720704476,0.001542949922998,NA,0.117965534716681,0.124014082471681
"omnipath","gm","representative",0.14239721196993,0.00167323058744831,NA,0.139149127563665,0.145708281624359
"string","mc","representative",0.243353733700186,0.00214606213502995,NA,0.239172225780785,0.247584558087168
"omnipath","mc","representative",0.225381808042446,0.00207615467710061,NA,0.221338681706321,0.229477023473741
"string","z","representative",0.347906462932518,0.00245273502059631,NA,0.343114812580962,0.352729097308081
"omnipath","z","representative",0.245970855588535,0.00215578838883138,NA,0.241770080255527,0.250220532983879
"string","knn","representative",0.308181409329108,0.0023552267420141,NA,0.303584520671791,0.312816638437335
"omnipath","knn","representative",0.25268138547879,0.00218021316419269,NA,0.24843220849584,0.256978390039451
"string","wsld","representative",0.309195625112609,0.002357995516521,NA,0.30459321935751,0.313836188863133
"omnipath","wsld","representative",0.244188728401094,0.00214917761902249,NA,0.24000104920811,0.248425592131899
"string","COSNet","representative",0.180118169337326,0.00187417963368297,NA,0.176474028457982,0.183820763929628
"omnipath","COSNet","representative",0.116140749960566,0.00151181066237192,NA,0.11321032879461,0.119136833755483
"string","bagsvm","representative",0.34666247733347,0.00245001653572817,NA,0.341876272550428,0.351479902646209
"omnipath","bagsvm","representative",0.269664578172642,0.00223879382102265,NA,0.265299206068123,0.274074984673592
"string","rf","representative",0.429257485692843,0.00258536256075252,NA,0.424197851610216,0.434331947053964
"omnipath","rf","representative",0.257099503789281,0.00219589490073536,NA,0.252819237533246,0.261426881015864
"string","svm","representative",0.372314432974494,0.00250179863754543,NA,0.367424278406237,0.377230859469666
"omnipath","svm","representative",0.210118785896229,0.00201235450576718,NA,0.206201811284197,0.214090099089474
