"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"knn","block","omnipath",8.14256306657955,0.0725029505791406,Inf,8.00169269762982,8.28591346839205
"wsld","block","omnipath",7.88186611336314,0.0712127753580737,Inf,7.74352018944283,8.02268372899434
"COSNet","block","omnipath",4.05900125683293,0.0498229742582174,Inf,3.9625153023228,4.15783661284878
"bagsvm","block","omnipath",8.51245091166529,0.0743081454876896,Inf,8.36804845108181,8.65934524006532
"rf","block","omnipath",8.07184051059917,0.0721544531257025,Inf,7.93165203107945,8.21450676016137
"svm","block","omnipath",6.85209835264437,0.0659538955832913,Inf,6.7240427972516,6.98259265296507
"pr","representative","omnipath",1.73286826523402,0.0297064753947934,Inf,1.67561192390235,1.79208107904952
"randomraw","representative","omnipath",0.850383227871776,0.0206254609102538,Inf,0.810903878103273,0.891784653856994
"random","representative","omnipath",0.726256231175761,0.0190366729984625,Inf,0.689887259046635,0.764542476187353
"EGAD","representative","omnipath",3.3891957454869,0.0422282385959229,Inf,3.30743233340536,3.47298044020745
"ppr","representative","omnipath",5.78978164812001,0.0564627794567157,Inf,5.68016754482056,5.9015110502284
"raw","representative","omnipath",7.33066850365671,0.0644337909372179,Inf,7.20546217649696,7.45805048922349
"gm","representative","omnipath",4.39303821166742,0.0485424766781606,Inf,4.29891956401799,4.48921745145017
"mc","representative","omnipath",6.4157039884573,0.0597800576787773,Inf,6.29960062382256,6.53394716989702
"z","representative","omnipath",6.70965585182974,0.0612985073042385,Inf,6.59058223075404,6.83088080441754
"knn","representative","omnipath",6.92819993526205,0.0624126376817506,Inf,6.80694700355811,7.05161275941692
"wsld","representative","omnipath",6.70638272615622,0.061281727481982,Inf,6.58734192782735,6.82757472778105
"COSNet","representative","omnipath",3.45365114336554,0.042654515257771,Inf,3.37105356806392,3.53827252496628
"bagsvm","representative","omnipath",7.24292355771644,0.0639963862429189,Inf,7.11857278653486,7.36944655003802
"rf","representative","omnipath",6.86802477864879,0.0621070782249814,Inf,6.74736953652765,6.99083755599495
"svm","representative","omnipath",5.83019216124314,0.0566806820231409,Inf,5.72015178405872,5.94234942012371
