disease.id	disease.efo_info.label	target.id	association_score.overall	association_score.datatypes.genetic_association	association_score.datatypes.somatic_mutation	association_score.datatypes.known_drug	association_score.datatypes.affected_pathway	association_score.datatypes.rna_expression	association_score.datatypes.literature	association_score.datatypes.animal_model	known_drug_binary
EFO_0000270	asthma	ENSG00000114812	0.0482	0.0	0.0	0.0	0.0	0.0	0.0482	0.0	0
EFO_0000270	asthma	ENSG00000101096	0.048188888888888885	0.0	0.0	0.0	0.0	0.0	0.048188888888888885	0.0	0
EFO_0000270	asthma	ENSG00000090534	0.04818272431493511	0.042982724314935106	0.0	0.0	0.0	0.0	0.020800000000000003	0.0	0
EFO_0000270	asthma	ENSG00000178726	0.04811032199546486	0.0	0.0	0.0	0.0	0.0	0.04811032199546486	0.0	0
EFO_0000270	asthma	ENSG00000231389	0.048100000000000004	0.0	0.0	0.0	0.0	0.0	0.048100000000000004	0.0	0
EFO_0000270	asthma	ENSG00000130204	0.04808398703430447	0.04808398703430447	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000129535	0.04802414340263157	0.0	0.0	0.0	0.0	0.0	0.04802414340263157	0.0	0
EFO_0000270	asthma	ENSG00000061936	0.048	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0
EFO_0000270	asthma	ENSG00000189013	0.048	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0
EFO_0000270	asthma	ENSG00000108405	0.048	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0
EFO_0000270	asthma	ENSG00000073050	0.048	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0
EFO_0000270	asthma	ENSG00000231887	0.04796181179992478	0.0	0.0	0.0	0.0	0.0	0.04796181179992478	0.0	0
EFO_0000270	asthma	ENSG00000171385	0.04790883290737504	0.04370883290737504	0.0	0.0	0.0	0.0	0.016800000000000002	0.0	0
EFO_0000270	asthma	ENSG00000172216	0.047900000000000005	0.0	0.0	0.0	0.0	0.0	0.047900000000000005	0.0	0
EFO_0000270	asthma	ENSG00000126838	0.0478423358845033	0.0	0.0	0.0	0.0	0.0478423358845033	0.0	0.0	0
EFO_0000270	asthma	ENSG00000173171	0.04779688492063492	0.0	0.0	0.0	0.0	0.0	0.04779688492063492	0.0	0
EFO_0000270	asthma	ENSG00000100097	0.04778888888888889	0.0	0.0	0.0	0.0	0.0	0.04778888888888889	0.0	0
EFO_0000270	asthma	ENSG00000140945	0.04777480080142138	0.04589208475203867	0.0	0.0	0.0	0.0	0.016944444444444446	0.0	0
EFO_0000270	asthma	ENSG00000165272	0.047700000000000006	0.0	0.0	0.0	0.0	0.0	0.047700000000000006	0.0	0
EFO_0000270	asthma	ENSG00000165283	0.0476	0.0	0.0	0.0	0.0	0.0	0.0476	0.0	0
EFO_0000270	asthma	ENSG00000159208	0.047476	0.0	0.0	0.0	0.0	0.0	0.047476	0.0	0
EFO_0000270	asthma	ENSG00000233705	0.047460063294415676	0.0	0.0	0.0	0.0	0.047460063294415676	0.0	0.0	0
EFO_0000270	asthma	ENSG00000123610	0.047374023986645676	0.0	0.0	0.0	0.0	0.012862762613249349	0.04415833333333334	0.0	0
EFO_0000270	asthma	ENSG00000204520	0.04729	0.0	0.0	0.0	0.0	0.0	0.04729	0.0	0
EFO_0000270	asthma	ENSG00000162614	0.047254849263153494	0.0	0.0	0.0	0.0	0.04625484926315349	0.004	0.0	0
EFO_0000270	asthma	ENSG00000133424	0.047220689191693734	0.0	0.0	0.0	0.0	0.047220689191693734	0.0	0.0	0
EFO_0000270	asthma	ENSG00000090659	0.04722044444444444	0.0	0.0	0.0	0.0	0.0	0.04722044444444444	0.0	0
EFO_0000270	asthma	ENSG00000040933	0.047200000000000006	0.0	0.0	0.0	0.0	0.0	0.047200000000000006	0.0	0
EFO_0000270	asthma	ENSG00000197594	0.047200000000000006	0.0	0.0	0.0	0.0	0.0	0.047200000000000006	0.0	0
EFO_0000270	asthma	ENSG00000100380	0.047200000000000006	0.0	0.0	0.0	0.0	0.0	0.047200000000000006	0.0	0
EFO_0000270	asthma	ENSG00000168310	0.047200000000000006	0.0	0.0	0.0	0.0	0.0	0.047200000000000006	0.0	0
EFO_0000270	asthma	ENSG00000085063	0.04719247455278408	0.0	0.0	0.0	0.0	0.0	0.04719247455278408	0.0	0
EFO_0000270	asthma	ENSG00000072310	0.04688172556724609	0.04688172556724609	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000162594	0.0468041156462585	0.0	0.0	0.0	0.0	0.0	0.0468041156462585	0.0	0
EFO_0000270	asthma	ENSG00000120337	0.0468	0.0	0.0	0.0	0.0	0.0	0.0468	0.0	0
EFO_0000270	asthma	ENSG00000113790	0.046700000000000005	0.0	0.0	0.0	0.0	0.0	0.046700000000000005	0.0	0
EFO_0000270	asthma	ENSG00000226124	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000135480	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000205426	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000198937	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000173068	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000150054	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000196208	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000269955	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000108963	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000196932	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000178031	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000188162	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000116117	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000148942	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000132842	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000171603	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000163637	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000273217	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000077943	0.046696	0.046696	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000115457	0.04669421088435376	0.0	0.0	0.0	0.0	0.0	0.04669421088435376	0.0	0
EFO_0000270	asthma	ENSG00000197506	0.04661948690135017	0.0	0.0	0.0	0.0	0.04661948690135017	0.0	0.0	0
EFO_0000270	asthma	ENSG00000183117	0.046582724314935105	0.042982724314935106	0.0	0.0	0.0	0.0	0.014400000000000003	0.0	0
EFO_0000270	asthma	ENSG00000060971	0.04650000000000001	0.0	0.0	0.0	0.0	0.0	0.04650000000000001	0.0	0
EFO_0000270	asthma	ENSG00000116990	0.04646770435893648	0.0	0.0	0.0	0.0	0.04646770435893648	0.0	0.0	0
EFO_0000270	asthma	ENSG00000196218	0.046456149446254216	0.04125614944625421	0.0	0.0	0.0	0.0	0.020800000000000003	0.0	0
