"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"knn","block","string",0.024710355226661,0.000250847474652968,Inf,0.0242234413342883,0.0252068037107545
"wsld","block","string",0.0237463123111921,0.000245223322433085,Inf,0.0232703995992519,0.0242317166452438
"COSNet","block","string",0.0235800931855579,0.000244245822172349,Inf,0.0231060925312441,0.0240635780145852
"bagsvm","block","string",0.0248651655190038,0.000251743641424089,Inf,0.0243764986774311,0.0253633738169701
"rf","block","string",0.0161265915946262,0.000197487622658469,Inf,0.0157440574616603,0.0165182641940907
"svm","block","string",0.0166828550980526,0.000201215859070307,Inf,0.0162930275442716,0.0170818477179688
"pr","representative","string",0.0179429067881462,0.000187971630474348,Inf,0.0175781784767243,0.0183150617367877
"randomraw","representative","string",0.0132921927459599,0.00015721068534671,Inf,0.0129875627364539,0.0136038695279348
"random","representative","string",0.00920794182872398,0.000127325273859877,Inf,0.00896170990079252,0.00946087463869492
"EGAD","representative","string",0.0138411057421432,0.000160988356254117,Inf,0.0135290947494217,0.0141602091122245
"ppr","representative","string",0.0217504192059898,0.000211524444566849,Inf,0.0213396793859565,0.0221688857399241
"raw","representative","string",0.0198391564817186,0.000199850626216891,Inf,0.0194512217046827,0.0202346685617144
"gm","representative","string",0.0111897837340585,0.000142268272139203,Inf,0.0109143505759677,0.0114720870681195
"mc","representative","string",0.0180234136848389,0.000188482624948848,Inf,0.0176576870936437,0.0183965733592826
"z","representative","string",0.0187060792770038,0.000192791123990768,Inf,0.0183319356532462,0.0190877104674448
"knn","representative","string",0.0176055492214227,0.000185823490613792,Inf,0.0172450175374133,0.0179734804833483
"wsld","representative","string",0.0169138841705436,0.000181383432136824,Inf,0.0165620267229127,0.0172730854765287
"COSNet","representative","string",0.0167946678344592,0.000180613088917536,Inf,0.0164443153669676,0.0171523545235709
"bagsvm","representative","string",0.0177166565047428,0.000186532206066342,Inf,0.0173547402640299,0.0180859812437572
"rf","representative","string",0.0114608163887836,0.000144241398625639,Inf,0.0111815276542118,0.0117469982372994
"svm","representative","string",0.0118580804207409,0.000147106783051979,Inf,0.0115731926951055,0.012149894789231
"pr","classic","omnipath",0.0235213591071596,0.000238337375301392,Inf,0.0230587256592964,0.0239930465365323
"randomraw","classic","omnipath",0.0174504301083929,0.000201066812213363,Inf,0.0170606861961393,0.0178489158731546
"random","classic","omnipath",0.0121041641609684,0.000164206276120077,Inf,0.0117865161881718,0.0124302651030058
"EGAD","classic","omnipath",0.0181678994533124,0.000205679262498934,Inf,0.0177691346716895,0.0185754438505672
"ppr","classic","omnipath",0.0284783003921021,0.000266455417049542,Inf,0.0279606797519854,0.0290052175223138
"raw","classic","omnipath",0.0259915499692298,0.000252562065543883,Inf,0.025501098768509,0.0264911773776034
"gm","classic","omnipath",0.014700116602739,0.000182720687078397,Inf,0.0143462547674499,0.0150625733389095
"mc","classic","omnipath",0.0236262934483562,0.000238951132678929,Inf,0.023162459728459,0.0240991863978371
