"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"EGAD","classic","omnipath",0.277837474732069,0.00874622839510534,Inf,0.261213302778569,0.295519644460566
"ppr","classic","omnipath",0.972488637250026,0.0179009100230994,Inf,0.93802885063667,1.00821435176382
"raw","classic","omnipath",0.751207239294199,0.0153154699595928,Inf,0.721781306060913,0.781832823362687
"gm","classic","omnipath",0.46015035637257,0.0115427686111469,Inf,0.438074085151681,0.48333913748057
"mc","classic","omnipath",0.982144552797189,0.0180101068212967,Inf,0.947472202091314,1.0180857237395
"z","classic","omnipath",0.611483842299234,0.013574657910707,Inf,0.585448511378334,0.638676983758527
"knn","classic","omnipath",0.727987061430782,0.0150331205678512,Inf,0.699110989939462,0.758055829813969
"wsld","classic","omnipath",0.621427136285301,0.0137021784970461,Inf,0.595143393472947,0.648871666806638
"COSNet","classic","omnipath",0.623036455543161,0.0137227590823634,Inf,0.596712622057131,0.650521558598137
"bagsvm","classic","omnipath",0.729711332064205,0.0150541731104215,Inf,0.700794260824684,0.759821616570181
"rf","classic","omnipath",0.351866160593656,0.00994536762501846,Inf,0.332903685859423,0.371908753882654
"svm","classic","omnipath",0.373189640760309,0.0102725399330328,Inf,0.353589311256709,0.3938764649752
"pr","block","omnipath",0.552954300228172,0.0120887616298996,Inf,0.529761211618162,0.577162788507833
"randomraw","block","omnipath",0.189901052245043,0.00662366610202347,Inf,0.177352711057748,0.203337233632883
"random","block","omnipath",0.207230793948769,0.00694302610432633,Inf,0.194059887708164,0.221295613780935
"EGAD","block","omnipath",0.233999920100058,0.00741662791560389,Inf,0.219905896499975,0.248997245996266
"ppr","block","omnipath",0.81904812744994,0.0153761707459016,Inf,0.789459086716126,0.849746169709329
"raw","block","omnipath",0.632680793485267,0.0131083630021066,Inf,0.607503533254283,0.658901495273443
"gm","block","omnipath",0.387547240447066,0.0098260639115171,Inf,0.368759200731455,0.40729251847878
"mc","block","omnipath",0.827180520204762,0.0154722432762527,Inf,0.797404618578379,0.858068284362421
"z","block","omnipath",0.515003134039002,0.0115895590285654,Inf,0.492781676331443,0.538226644392521
"knn","block","omnipath",0.613124325193908,0.0128615523224252,Inf,0.588427324695759,0.638857888421229
"wsld","block","omnipath",0.523377562292479,0.0117005765561354,Inf,0.500940013698277,0.546820108637212
"COSNet","block","omnipath",0.52473296108495,0.0117184973632107,Inf,0.502260530955916,0.54821086563369
"bagsvm","block","omnipath",0.614576538185842,0.0128799489194206,Inf,0.589843739569395,0.640346410329337
"rf","block","omnipath",0.296348264553696,0.00844719287649975,Inf,0.280246052658048,0.313375667814122
"svm","block","omnipath",0.314307298553928,0.00872904989979817,Inf,0.297655975315393,0.331890121875068
"pr","representative","omnipath",0.408938792240641,0.00921989610743892,Inf,0.391261575079272,0.427414666940785
"randomraw","representative","omnipath",0.140441817557563,0.00495930472291658,Inf,0.131050496742881,0.15050613777962
"random","representative","omnipath",0.153258073149101,0.00520371955132497,Inf,0.143390933463331,0.163804198899239
"EGAD","representative","omnipath",0.173055250082399,0.00556726601661152,Inf,0.162480497036115,0.184318242049845
"ppr","representative","omnipath",0.605729174885026,0.0118512391585977,Inf,0.582940898416591,0.629408288736482
"raw","representative","omnipath",0.467900727881045,0.0100313387273117,Inf,0.448647016025379,0.487980713860865
"gm","representative","omnipath",0.286611570575037,0.00743653647733818,Inf,0.272400630922072,0.301563884449995
"mc","representative","omnipath",0.611743507117926,0.0119287536180047,Inf,0.588804714984392,0.635575954093473
"z","representative","omnipath",0.380871908487104,0.00882430774326145,Inf,0.363963394834434,0.398565934743513
"knn","representative","omnipath",0.453437690844783,0.00983450302420595,Inf,0.434566363265909,0.473128518124262
"wsld","representative","omnipath",0.387065238703126,0.00891218244783625,Inf,0.369985959109767,0.404932931435541
"COSNet","representative","omnipath",0.38806762740861,0.00892637288192442,Inf,0.370960772173948,0.405963365236718
"bagsvm","representative","omnipath",0.454511678743516,0.00984916571330808,Inf,0.435611865867181,0.474231494367135
"rf","representative","omnipath",0.219165130534641,0.0063628086368125,Inf,0.207042426926994,0.231997640074048
"svm","representative","omnipath",0.232446780882297,0.00658143817523133,Inf,0.219898787762609,0.245710794917488
