"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"ppr","block","omnipath",3.41605618007723,0.0413097013489034,Inf,3.33604261809564,3.49798883327974
"raw","block","omnipath",2.55149501366047,0.0345939973370949,Inf,2.48458498995101,2.62020692834605
"gm","block","omnipath",1.3472055159154,0.0239713848619389,Inf,1.30103227773019,1.39501742822191
"mc","block","omnipath",2.84994322392131,0.0369695440113548,Inf,2.77839761620888,2.92333117916279
"z","block","omnipath",2.75461541377881,0.036218269111518,Inf,2.68453576605775,2.82652448656726
"knn","block","omnipath",2.10685058001011,0.0309051297780249,Inf,2.04714010373961,2.16830267668555
"wsld","block","omnipath",2.07425038659981,0.0306261549893974,Inf,2.01508444821919,2.1351535267476
"COSNet","block","omnipath",2.59817485716593,0.0349702689109086,Inf,2.5305305488574,2.66762738409035
"bagsvm","block","omnipath",2.33288195196789,0.0328056002243685,Inf,2.26946214510174,2.39807401659635
"rf","block","omnipath",1.45545228815233,0.0250271588190835,Inf,1.40721734210101,1.50534057512759
"svm","block","omnipath",1.47225703181429,0.0251885658998716,Inf,1.42370690626694,1.52246277529838
"pr","representative","omnipath",1.65726167531292,0.0240701219046535,Inf,1.61075025463503,1.70511614234282
"randomraw","representative","omnipath",0.991365738529893,0.0177229136225498,Inf,0.957230978997716,1.0267177401216
"random","representative","omnipath",0.756704795704287,0.0151992446761865,Inf,0.72749358989495,0.787088925312112
"EGAD","representative","omnipath",1.26846840040321,0.0204741185195574,Inf,1.22896796625038,1.30923842362678
"ppr","representative","omnipath",2.41628666591889,0.0305768646676107,Inf,2.35709420244253,2.47696559850998
"raw","representative","omnipath",1.80475468044761,0.0253777152653774,Inf,1.75569443307168,1.85518584284567
"gm","representative","omnipath",0.952921893774347,0.0173239427577182,Inf,0.919565394736176,0.987488373129799
"mc","representative","omnipath",2.01585672119458,0.0272083600912455,Inf,1.96322849709282,2.06989574896805
"z","representative","omnipath",1.94842828782106,0.0266283622361143,Inf,1.89693044692631,2.00132419137071
"knn","representative","omnipath",1.49024333769793,0.0225552152983402,Inf,1.44668518882889,1.53511297599642
"wsld","representative","omnipath",1.46718416990581,0.022342817589121,Inf,1.42404011630453,1.51163535617831
"COSNet","representative","omnipath",1.83777283866386,0.0256670228589536,Inf,1.78814869242053,1.88877413877635
"bagsvm","representative","omnipath",1.65012261407698,0.0240061548076625,Inf,1.60373588800609,1.69785103760047
"rf","representative","omnipath",1.02948832552986,0.0181138350439565,Inf,0.994591045459801,1.06561004871334
"svm","representative","omnipath",1.04137486248771,0.0182348114101811,Inf,1.00624161677491,1.07773479663571
