"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"randomraw","block","omnipath",0.0193047141067283,0.000728134133983856,Inf,0.0179281301483949,0.0207847599198195
"random","block","omnipath",0.0190752918955671,0.00072376756358286,Inf,0.0177072669809053,0.0205467966880265
"EGAD","block","omnipath",0.0943094128551999,0.00161631393828466,Inf,0.0911888074650698,0.0975253497401437
"ppr","block","omnipath",0.17152991663642,0.00216112052517831,Inf,0.167335573606492,0.175807195189694
"raw","block","omnipath",0.197757331709111,0.00230761013391012,Inf,0.19327343784373,0.202319162252949
"gm","block","omnipath",0.0859355215575614,0.00154317792689195,Inf,0.0829587757920943,0.0890087123157127
"mc","block","omnipath",0.150830740374004,0.00203358187531457,Inf,0.146888150681395,0.154859942962055
"z","block","omnipath",0.179868491562406,0.00220942675602253,Inf,0.175578716391561,0.18423965301468
"knn","block","omnipath",0.202651456567811,0.00233324220626193,Inf,0.198116849174305,0.207263027758325
"wsld","block","omnipath",0.201214474548517,0.00232576925895906,Inf,0.196694654165208,0.205811545652956
"COSNet","block","omnipath",0.0691453744768655,0.00138409859147569,Inf,0.0664813622327935,0.0719079149383281
"bagsvm","block","omnipath",0.195147290870167,0.00229372974329235,Inf,0.190690853073172,0.199682179138638
"rf","block","omnipath",0.232620988736573,0.00247952608776094,Inf,0.227796622531282,0.237516100862971
"svm","block","omnipath",0.189168885763124,0.00226137198325914,Inf,0.184776435957605,0.193640949517052
"pr","representative","omnipath",0.05356948358539,0.0012174337266337,Inf,0.0512328823038477,0.0560063606123117
"randomraw","representative","omnipath",0.0216275321572395,0.000770973579048245,Inf,0.0201669680792986,0.0231913718604044
"random","representative","omnipath",0.0193145939882546,0.000728321426924905,Inf,0.0179376428839919,0.0207950061209529
"EGAD","representative","omnipath",0.118977418894607,0.00181283256793605,Inf,0.115469967998728,0.122576645969898
"ppr","representative","omnipath",0.233946693614562,0.00248559230180601,Inf,0.229110297839833,0.238853550251899
"raw","representative","omnipath",0.281160838971432,0.00268108284800151,Inf,0.275936035548173,0.286445435382926
"gm","representative","omnipath",0.0786587831577484,0.00147644955905848,Inf,0.0758132469695396,0.0816016920307469
"mc","representative","omnipath",0.213586070985937,0.00238869672140921,Inf,0.208941689333846,0.218305198931125
"z","representative","omnipath",0.262503684103298,0.00260847839207276,Inf,0.257423319031976,0.267648174397623
"knn","representative","omnipath",0.227576927621367,0.00245614121332398,Inf,0.222798923704564,0.232426754473398
"wsld","representative","omnipath",0.223878053257566,0.00243868320544748,Inf,0.219134650174251,0.22869406136551
"COSNet","representative","omnipath",0.123551260661353,0.00184659905679309,Inf,0.119977293698021,0.127216301000256
"bagsvm","representative","omnipath",0.276035383808149,0.00266172036708343,Inf,0.270849124572557,0.281282640800752
"rf","representative","omnipath",0.289844628868753,0.00271289978530493,Inf,0.284556445543718,0.295190539333579
"svm","representative","omnipath",0.240804687434328,0.00251644993873834,Inf,0.235907080746379,0.245771267264259
