"cv_scheme","method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"block","wsld","omnipath",8.92553415401192,0.0940903000456622,NA,8.74301261846558,9.11186605932345
"representative","wsld","omnipath",6.15266964162927,0.0776398563246621,NA,6.00236469486492,6.3067383678656
"classic","COSNet","omnipath",10.0734487680217,0.100210814297529,NA,9.87894156949905,10.2717856329121
"block","COSNet","omnipath",3.27316108217986,0.0562630845811875,NA,3.16472434954066,3.38531331218525
"representative","COSNet","omnipath",3.64975532892491,0.0594623079255687,NA,3.53505243946342,3.76818001688194
"classic","bagsvm","omnipath",15.5600106257345,0.12603812969659,NA,15.3149310161826,15.8090121605601
"block","bagsvm","omnipath",8.00880093062374,0.0889468999799863,NA,7.83635192359055,8.18504489994509
"representative","bagsvm","omnipath",7.49061106433893,0.0859223796897707,NA,7.32408523507929,7.66092314825298
"classic","rf","omnipath",17.408746018847,0.13384308752306,NA,17.1483849690254,17.6730600867742
"block","rf","omnipath",9.47354618110961,0.0970529614301639,NA,9.28522288073627,9.66568906297486
"representative","rf","omnipath",7.89595387410764,0.0882959354880938,NA,7.72477969820769,8.07092111591235
"classic","svm","omnipath",15.7673342877055,0.126931428303659,NA,15.5205056431394,16.0180883443155
"block","svm","omnipath",8.01452678549972,0.0889798196463537,NA,7.84201330961317,8.19083531989834
"representative","svm","omnipath",6.86005129611108,0.0821111458853129,NA,6.70098947542351,7.02288877752654
