"cv_scheme","method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"representative","wsld","string",0.874531111228023,0.00139653249193327,NA,0.871768288687306,0.877242789412444
"classic","COSNet","string",0.642701002644504,0.00215217056743483,NA,0.638471859050145,0.646908033406977
"block","COSNet","string",0.496986300108863,0.00230965579839834,NA,0.492459828632028,0.501513265637792
"representative","COSNet","string",0.690762785929096,0.0020530485308238,NA,0.686724492472093,0.694772160770151
"classic","bagsvm","string",0.913396618756224,0.00116965192440488,NA,0.911076509264355,0.915661797733079
"block","bagsvm","string",0.844021667113514,0.00154506982149639,NA,0.840969366362628,0.847026040977456
"representative","bagsvm","string",0.879035040792002,0.00137266399776567,NA,0.876318764166058,0.881699715973424
"classic","rf","string",0.894169907801559,0.0012881594484452,NA,0.891618480897122,0.896668232058691
"block","rf","string",0.808782794316861,0.00169286141532984,NA,0.805442849011465,0.812078780505718
"representative","rf","string",0.84757726806599,0.00152883606851592,NA,0.844556587770433,0.850549635848655
"classic","svm","string",0.860806291662839,0.0014660362418896,NA,0.857907974623868,0.863654885905774
"block","svm","string",0.762468225774233,0.00185622070018697,NA,0.758810940248261,0.766087149273945
"representative","svm","string",0.791573874713591,0.00175730258983978,NA,0.788108658180817,0.794997162794942
"classic","pr","omnipath",0.638730569391455,0.00226511452669356,NA,0.634279282964038,0.643158158126222
"block","pr","omnipath",0.638962139646211,0.00226486966030197,NA,0.634511312546944,0.643389228012789
"representative","pr","omnipath",0.636913304640842,0.00226701479041165,NA,0.632458455349817,0.641344778148921
"classic","randomraw","omnipath",0.559622351847409,0.00231427969465079,NA,0.55508159229008,0.564153156831321
"block","randomraw","omnipath",0.54269522146359,0.00231625611906571,NA,0.538152021327053,0.547231330838012
"representative","randomraw","omnipath",0.578110827394557,0.00230876383120722,NA,0.573579296312413,0.582629243638101
"classic","random","omnipath",0.451740078398473,0.00227806131564362,NA,0.447279162127653,0.456208763314558
"block","random","omnipath",0.45015982925734,0.002276680751968,NA,0.445701743389545,0.454625933449003
"representative","random","omnipath",0.448522923953799,0.00227522496853578,NA,0.444067820213408,0.452986304322984
"classic","EGAD","omnipath",0.730138835585341,0.00211715649320238,NA,0.725969230437436,0.73426821960295
"block","EGAD","omnipath",0.626749084900636,0.00227695041636861,NA,0.62227566313117,0.631200926256451
"representative","EGAD","omnipath",0.641129340538271,0.00226254814332821,NA,0.636682870610841,0.645551687435052
"classic","ppr","omnipath",0.853061340763617,0.00171039369958681,NA,0.849677279072139,0.856382097291595
"block","ppr","omnipath",0.759457025601074,0.0020453301357387,NA,0.755425460167194,0.763442945133357
"representative","ppr","omnipath",0.805983667368667,0.00190165417634622,NA,0.802229290289277,0.809683681255581
"classic","raw","omnipath",0.879353050951596,0.00157731114958571,NA,0.87622724564132,0.882410509728229
"block","raw","omnipath",0.767314326883625,0.0020237623107298,NA,0.763324294385928,0.771257250362175
"representative","raw","omnipath",0.829657677557891,0.00181209450675317,NA,0.826076557979807,0.833179951582403
"classic","gm","omnipath",0.536875865740472,0.00231626557898566,NA,0.532333136217185,0.5414124823273
"block","gm","omnipath",0.46981268359746,0.00229211609287663,NA,0.46532278482292,0.474307473921113
"representative","gm","omnipath",0.434495357401032,0.00226167529355563,NA,0.430067907545689,0.438933283714955
"classic","mc","omnipath",0.875302368024398,0.00159929572403939,NA,0.872133873444869,0.878403294850794
"block","mc","omnipath",0.789672532136497,0.00195655617113353,NA,0.785812104961237,0.793481666565755
