"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"z","representative","string",3.79234633331212,0.0694882682968807,Inf,3.65856839113466,3.93101595329903
"knn","representative","string",3.52549694111207,0.0669448712320971,Inf,3.39669902739082,3.6591786854127
"wsld","representative","string",3.46904209860038,0.0663953598264895,Inf,3.34132014783096,3.6016462204838
"COSNet","representative","string",1.90959276404853,0.0490264545627053,Inf,1.81588024360288,2.00814152659725
"bagsvm","representative","string",3.77013459199604,0.0692798251369724,Inf,3.63676478403248,3.90839542446422
"rf","representative","string",4.76812046918341,0.0781461281262756,Inf,4.61739073553118,4.92377061219844
"svm","representative","string",3.60107856086813,0.0676741381626726,Inf,3.47085272038124,3.73619045411978
"pr","classic","omnipath",0.41702257318936,0.0191153833084005,Inf,0.381190778714238,0.456222543305137
"randomraw","classic","omnipath",0.161107634157575,0.0118585758048695,Inf,0.13946400033419,0.186110176975095
"random","classic","omnipath",0.175145161425604,0.0123663565733633,Inf,0.152509862421255,0.201139959631396
"EGAD","classic","omnipath",4.38834732439995,0.0637761227944347,Inf,4.26511188901515,4.51514350401131
"ppr","classic","omnipath",5.70074824420197,0.0733429739123027,Inf,5.5587959074264,5.84632555053058
"raw","classic","omnipath",7.20362762562422,0.0832785785335839,Inf,7.04223991319269,7.36871387631133
"gm","classic","omnipath",6.50326294191211,0.0787589733258518,Inf,6.35071582098979,6.65947431498452
"mc","classic","omnipath",2.59067984761332,0.0483924535779711,Inf,2.49754761745369,2.68728492939503
"z","classic","omnipath",6.89393815401054,0.0813015880376071,Inf,6.73641746866086,7.05514221653041
"knn","classic","omnipath",5.55454198738023,0.0723248158534717,Inf,5.4145814721934,5.69812031604203
"wsld","classic","omnipath",5.50098341767298,0.0719491843981785,Inf,5.36175775800654,5.64382426944327
"COSNet","classic","omnipath",5.87870091129379,0.0745683839184987,Inf,5.7343513483574,6.02668415397077
"bagsvm","classic","omnipath",7.18807836345117,0.0831800853118794,Inf,7.02688330278696,7.35297120113301
"rf","classic","omnipath",7.5806972333212,0.0856433827777043,Inf,7.4146840696348,7.75042739563604
"svm","classic","omnipath",6.34215530884117,0.0776935064326714,Inf,6.1916923858109,6.49627459749753
"pr","block","omnipath",0.415402858422947,0.0190779685355511,Inf,0.379644258397311,0.454529552256168
"randomraw","block","omnipath",0.103229824343169,0.00948850682515466,Inf,0.0862116316246082,0.123607411588295
"random","block","omnipath",0.170501978973407,0.0122009118143549,Inf,0.148189860452314,0.196173508397378
"EGAD","block","omnipath",1.01880061536017,0.0300085434957862,Inf,0.961650469939879,1.07934714982581
"ppr","block","omnipath",1.72769579702245,0.0392775536410986,Inf,1.65240310743385,1.80641924093484
"raw","block","omnipath",2.45268014582751,0.0470400887486043,Inf,2.36219460804019,2.54663179623773
"gm","block","omnipath",2.1586479173762,0.0440386758964438,Inf,2.0740365772012,2.24671101870377
"mc","block","omnipath",1.15042943883276,0.0319186433712946,Inf,1.0895405934148,1.21472105007583
"z","block","omnipath",2.18337556346905,0.044297979860305,Inf,2.09825671987333,2.27194737707861
"knn","block","omnipath",2.68937447001736,0.0493399223559333,Inf,2.59438799443295,2.78783861762434
"wsld","block","omnipath",2.63916331091681,0.0488598736366906,Inf,2.54511631226433,2.73668552911541
"COSNet","block","omnipath",1.56064920989232,0.0372856691797028,Inf,1.48925522429473,1.63546577954156
"bagsvm","block","omnipath",2.45851111914241,0.047097912320609,Inf,2.36791241467398,2.55257622093216
"rf","block","omnipath",3.43012404298446,0.0560120469146422,Inf,3.32208064282509,3.5416813182038
"svm","block","omnipath",2.79141650302813,0.0503033603852745,Inf,2.69454455641772,2.89177110648225
"pr","representative","omnipath",0.401041387159303,0.0187432861235005,Inf,0.365937553560793,0.439512678186878
"randomraw","representative","omnipath",0.0986946229680553,0.00927737654200284,Inf,0.0820880312934441,0.118660765148409
"random","representative","omnipath",0.110788493067039,0.00983057433291182,Inf,0.0931033161990913,0.13183300764302
"EGAD","representative","omnipath",1.09233567181821,0.0310879636642396,Inf,1.03307261671073,1.15499840052449
"ppr","representative","omnipath",1.88707573428604,0.0410959896334996,Inf,1.80822387539915,1.96936611410748
"raw","representative","omnipath",2.63819148203101,0.0488505418325345,Inf,2.54416274617264,2.73569538990046
"gm","representative","omnipath",1.67348934218001,0.0386410083805577,Inf,1.59944251646346,1.7509641950637
"mc","representative","omnipath",1.14351865564582,0.0318210315839844,Inf,1.08282086907152,1.20761887137554
"z","representative","omnipath",2.65482055407722,0.0490099994541922,Inf,2.56047975166134,2.75263734063034
"knn","representative","omnipath",2.46801344602573,0.0471920163248188,Inf,2.37723057089147,2.56226318319624
"wsld","representative","omnipath",2.42849240466918,0.0467995704795203,Inf,2.33847758733511,2.52197215465155
"COSNet","representative","omnipath",1.33680462551149,0.0344522140987898,Inf,1.27095659528387,1.40606423021848
"bagsvm","representative","omnipath",2.63927129190415,0.0488609098865647,Inf,2.54522226522551,2.73679554333625
"rf","representative","omnipath",3.33790827981918,0.0552184788490313,Inf,3.23141776958513,3.44790815639907
"svm","representative","omnipath",2.52092412980909,0.0477130222807243,Inf,2.42912159791756,2.61619610714497
