"STRING_id","n_disease"
"9606.ENSP00000341280",2
"9606.ENSP00000341390",2
"9606.ENSP00000342087",2
"9606.ENSP00000342381",2
"9606.ENSP00000342991",2
"9606.ENSP00000343477",2
"9606.ENSP00000344741",2
"9606.ENSP00000345512",2
"9606.ENSP00000345808",2
"9606.ENSP00000345964",2
"9606.ENSP00000346037",2
"9606.ENSP00000346534",2
"9606.ENSP00000346550",2
"9606.ENSP00000349016",2
"9606.ENSP00000349275",2
"9606.ENSP00000350348",2
"9606.ENSP00000350789",2
"9606.ENSP00000351052",2
"9606.ENSP00000351108",2
"9606.ENSP00000351755",2
"9606.ENSP00000352565",2
"9606.ENSP00000352927",2
"9606.ENSP00000352928",2
"9606.ENSP00000353878",2
"9606.ENSP00000354541",2
"9606.ENSP00000354687",2
"9606.ENSP00000354932",2
"9606.ENSP00000355001",2
"9606.ENSP00000355177",2
"9606.ENSP00000355316",2
"9606.ENSP00000355896",2
"9606.ENSP00000356024",2
"9606.ENSP00000356346",2
"9606.ENSP00000356366",2
"9606.ENSP00000356399",2
"9606.ENSP00000356404",2
"9606.ENSP00000358309",2
"9606.ENSP00000358470",2
"9606.ENSP00000358918",2
"9606.ENSP00000359013",2
"9606.ENSP00000359035",2
"9606.ENSP00000359073",2
"9606.ENSP00000359114",2
"9606.ENSP00000360107",2
"9606.ENSP00000360296",2
"9606.ENSP00000360843",2
"9606.ENSP00000360985",2
"9606.ENSP00000361473",2
"9606.ENSP00000362127",2
"9606.ENSP00000362863",2
"9606.ENSP00000362994",2
"9606.ENSP00000363003",2
"9606.ENSP00000363092",2
"9606.ENSP00000363296",2
"9606.ENSP00000363435",2
"9606.ENSP00000364114",2
"9606.ENSP00000364597",2
"9606.ENSP00000365272",2
"9606.ENSP00000365735",2
"9606.ENSP00000365775",2
"9606.ENSP00000366306",2
"9606.ENSP00000366702",2
"9606.ENSP00000366729",2
"9606.ENSP00000367164",2
"9606.ENSP00000367432",2
"9606.ENSP00000368020",2
"9606.ENSP00000368144",2
"9606.ENSP00000369129",2
"9606.ENSP00000369460",2
"9606.ENSP00000370031",2
"9606.ENSP00000370571",2
"9606.ENSP00000370658",2
"9606.ENSP00000370710",2
"9606.ENSP00000370842",2
