"STRING_id","allergy","Alzheimers.disease","arthritis","asthma","bipolar.disorder","cardiac.arrhythmia","chronic.obstructive.pulmonary.disease","coronary.heart.disease","drug.dependence","hypertension","multiple.sclerosis","obesity","Parkinson.s.disease","psoriasis","rheumatoid.arthritis","schizophrenia","stroke","systemic.lupus.erythematosus","type.I.diabetes.mellitus","type.II.diabetes.mellitus","ulcerative.colitis","unipolar.depression"
"9606.ENSP00000354830",0.002285474,0.003701124,0.007400236,0.003102097,0.005405587,0.005777428,0.004090972,0.006616454,0.005030497,0.006750036,0.006508187,0.007203124,0.004875926,0.003956623,0.003904296,0.006255748,0.005292834,0.004134,0.003730548,0.005704908,0.002070536,0.004221964
"9606.ENSP00000354837",0.00621739,0.0100762,0.01871251,0.008970661,0.01140275,0.01381203,0.009482445,0.01365556,0.01368315,0.01559484,0.01599451,0.01584639,0.01457808,0.01104196,0.009653415,0.01455649,0.01589129,0.008814775,0.008779673,0.01194042,0.005917204,0.01187658
"9606.ENSP00000354849",0.004708187,0.008459805,0.01621732,0.006465263,0.01010251,0.01295568,0.007765454,0.0121359,0.01180563,0.01336255,0.01402727,0.01379147,0.01180712,0.008734614,0.007907636,0.01302305,0.01551502,0.007538097,0.007245701,0.0102445,0.004662594,0.009702449
"9606.ENSP00000354850",0.003359578,0.007928805,0.01368901,0.004627472,0.009931337,0.01125046,0.00605171,0.01153117,0.01000605,0.0120893,0.01017037,0.01252051,0.009732836,0.008221236,0.005842161,0.009737645,0.01024237,0.006593873,0.00583358,0.01007331,0.003240224,0.008725268
"9606.ENSP00000354855",0.004535108,0.007626583,0.0130791,0.005517976,0.009289097,0.0107473,0.007918687,0.01095517,0.008894442,0.01570049,0.01374211,0.01230857,0.008915333,0.01005366,0.007025937,0.01086746,0.009684939,0.008031556,0.007084132,0.009861892,0.003890815,0.007854376
"9606.ENSP00000354856",0.003924058,0.00622389,0.01188093,0.005457061,0.00805977,0.009075905,0.00654337,0.009785246,0.008055549,0.01059936,0.01064144,0.01085365,0.007995927,0.006898242,0.006323634,0.00955439,0.008705245,0.006496018,0.006222357,0.008491815,0.003751265,0.007056275
"9606.ENSP00000354859",0.01056877,0.01984653,0.02763374,0.02293895,0.02285732,0.01802669,0.02110438,0.02047249,0.02889292,0.02190186,0.02680876,0.03153664,0.02778359,0.01963933,0.01327903,0.02996444,0.02087636,0.01092891,0.01749335,0.02500799,0.007481761,0.02652088
"9606.ENSP00000354871",0.004904176,0.006614412,0.01125719,0.007622164,0.007405494,0.008400967,0.00688125,0.00908368,0.009718781,0.01006092,0.008973568,0.01116675,0.009542613,0.005969474,0.005878863,0.009413087,0.009108667,0.004692005,0.005229854,0.008658212,0.003187329,0.008925706
"9606.ENSP00000354876",0.006049271,0.008732225,0.01479303,0.00695207,0.1080296,0.1090668,0.106352,0.1100671,0.01038196,0.111014,0.01277394,0.1110844,0.008728749,0.008057949,0.008761471,0.1091809,0.01023667,0.1053512,0.1064074,0.108987,0.005197929,0.008926548
"9606.ENSP00000354877",0.00407339,0.04181593,0.04817562,0.005457695,0.04411236,0.04606453,0.007266429,0.0466276,0.04608437,0.04680417,0.01206171,0.04809051,0.0456659,0.04261955,0.006658219,0.01106912,0.04505848,0.007591948,0.00699905,0.044344,0.003962855,0.04362331
"9606.ENSP00000354878",0.002484803,0.00406182,0.007662229,0.003568308,0.004980645,0.006058965,0.004008527,0.006022576,0.005733428,0.006604427,0.006760782,0.006893393,0.005764069,0.0043266,0.003797832,0.0063015,0.006227656,0.003715103,0.003641883,0.005259371,0.002315229,0.00491195
"9606.ENSP00000354883",0.004311565,0.01026765,0.01695701,0.005849799,0.01242156,0.0142126,0.007471981,0.0147996,0.01237722,0.01534344,0.0143803,0.01603025,0.01229979,0.01074435,0.007125808,0.0113997,0.0133381,0.007800616,0.00713242,0.01295417,0.003991622,0.01107765
