"STRING_id","degree","pagerank","betweenness","number_diseases"
"9606.ENSP00000193322",4,2.98598378597858e-05,5.47759504906579e-05,0
"9606.ENSP00000194214",1,2.38011667615602e-05,0,0
"9606.ENSP00000194530",23,7.7263659371161e-05,2.28655892826178e-05,0
"9606.ENSP00000196061",25,0.000124821313935637,0.00119723947666273,0
"9606.ENSP00000196371",23,0.000111047532224049,4.74451918347568e-05,0
"9606.ENSP00000196551",157,0.000250485313606207,2.29671971708624e-05,0
"9606.ENSP00000198536",1,1.52656027785417e-05,0,0
"9606.ENSP00000198765",2,2.18991781474206e-05,0,0
"9606.ENSP00000198767",38,9.35628625463164e-05,8.41424695946729e-06,0
"9606.ENSP00000198801",2,1.81498897911395e-05,5.79793072142449e-07,0
"9606.ENSP00000199280",14,5.72061506410053e-05,9.27668915427918e-06,0
"9606.ENSP00000199320",3,2.42469870828546e-05,3.47875843285469e-07,0
"9606.ENSP00000199389",12,4.16852776339521e-05,1.2380026608068e-05,0
"9606.ENSP00000199706",2,2.20821840848584e-05,0,0
"9606.ENSP00000199708",8,5.1774322683594e-05,0,0
"9606.ENSP00000199764",2,3.56392614480493e-05,0,0
"9606.ENSP00000199814",7,3.13973438890803e-05,3.18886189678347e-07,0
"9606.ENSP00000199936",28,8.05210490236792e-05,1.73937921642735e-06,0
"9606.ENSP00000200135",111,0.000223007083410191,3.70180045625219e-06,0
"9606.ENSP00000200181",123,0.000275157373984815,0.00033934829248198,0
"9606.ENSP00000200453",22,7.07696197261835e-05,1.29692462824864e-05,0
"9606.ENSP00000200457",31,0.00010098055181924,0.000160841845625717,0
"9606.ENSP00000200652",2,1.82086736821854e-05,0,0
"9606.ENSP00000200676",4,2.74223603382848e-05,0,1
"9606.ENSP00000201031",3,2.8114306695871e-05,5.4210652245319e-06,0
"9606.ENSP00000201586",20,8.60563682618061e-05,0.000198886538327248,0
"9606.ENSP00000201979",4,1.98382793841025e-05,0,0
"9606.ENSP00000202017",4,2.61090083510482e-05,5.02173274609379e-05,0
"9606.ENSP00000202556",11,4.49238353335914e-05,1.41585468217186e-05,0
"9606.ENSP00000202677",3,2.57251539528488e-05,0,0
"9606.ENSP00000202773",156,0.000245258043038731,8.61657793870967e-06,0
"9606.ENSP00000202788",15,5.83476214251178e-05,4.41186290833395e-05,2
"9606.ENSP00000202816",1,1.63975456137336e-05,0,0
"9606.ENSP00000202967",4,2.42029687129664e-05,2.17060031383329e-06,0
"9606.ENSP00000203001",3,3.35243398690391e-05,0.000292433130761848,0
"9606.ENSP00000203407",79,0.000191802102806963,2.40215517202018e-05,0
"9606.ENSP00000203556",57,9.93226052798855e-05,2.74176343015577e-07,0
"9606.ENSP00000203664",5,2.79450106926493e-05,2.66704813185527e-06,0
"9606.ENSP00000204517",3,2.15630456522418e-05,7.24741340178061e-08,0
"9606.ENSP00000204566",3,2.11656393078964e-05,0.000119977305159777,0
"9606.ENSP00000204604",25,0.000115034289810096,0.000217750951460966,0
"9606.ENSP00000204615",14,4.37101026638569e-05,3.91106664227091e-05,0
"9606.ENSP00000204726",15,9.35277155336798e-05,5.70395592764807e-05,0
"9606.ENSP00000204961",45,0.000116503488463383,0.000126055469199404,0
"9606.ENSP00000205061",4,2.83461389034848e-05,0,0
"9606.ENSP00000205143",4,2.48310595740499e-05,0,0
"9606.ENSP00000205386",25,6.15258859737381e-05,4.4881962899882e-05,1
"9606.ENSP00000205402",37,0.000175865202213559,0.000697471739351628,0
"9606.ENSP00000205890",2,3.56620585514304e-05,0,0
"9606.ENSP00000205948",7,3.24292010356517e-05,1.27699424139374e-05,0
"9606.ENSP00000206249",274,0.000767026019337817,0.00655176048553219,5
"9606.ENSP00000206262",8,2.01610895985882e-05,0,0
"9606.ENSP00000206474",8,5.2378436143319e-05,0,0
"9606.ENSP00000206513",8,3.24663155341286e-05,6.08782725749571e-06,0
"9606.ENSP00000206542",6,7.14746497258399e-05,0.000177590617997232,0
"9606.ENSP00000206765",2,4.03696998363166e-05,0.00017025623563463,0
"9606.ENSP00000207437",55,0.000138608084382266,9.81651468496102e-05,0
"9606.ENSP00000207549",3,3.02796518759739e-05,0.000410765273079421,0
"9606.ENSP00000207870",1,2.07910624225763e-05,0,0
"9606.ENSP00000209540",343,9.54180944743252e-05,9.06944995107101e-08,0
"9606.ENSP00000209668",54,0.000144752070533954,2.09701580060573e-06,0
"9606.ENSP00000209728",150,0.000332495219991339,0.000674412904989003,0
"9606.ENSP00000209873",71,0.000139702325780269,3.96835278675765e-06,0
"9606.ENSP00000209875",52,0.000170701579857913,0.000762721410110092,0
"9606.ENSP00000209884",27,8.24949357918113e-05,4.68182905755028e-05,0
"9606.ENSP00000209929",3,1.99062991553155e-05,0,0
"9606.ENSP00000210060",4,4.4486288984164e-05,0.000161784009367949,0
"9606.ENSP00000210187",1,2.2278498144315e-05,0,0
"9606.ENSP00000210313",117,0.000236011318981593,7.61704847578021e-06,0
"9606.ENSP00000210444",4,6.98912585065221e-05,1.59443094839173e-07,0
"9606.ENSP00000210633",2,1.96958537175038e-05,2.89896536071224e-08,0
"9606.ENSP00000211122",57,0.000138991389986464,9.44973629645121e-07,0
"9606.ENSP00000211287",95,0.000230899880538395,0.000266224122029766,0
"9606.ENSP00000211998",84,0.000241270842975982,0.000452511582175911,0
"9606.ENSP00000212015",150,0.000427686089108105,0.00233890606920446,0
"9606.ENSP00000212355",14,4.97240833982633e-05,4.2725917807964e-05,0
"9606.ENSP00000214869",1,2.32964730322762e-05,0,0
"9606.ENSP00000215057",1,1.53069779794795e-05,0,0
"9606.ENSP00000215071",124,0.000254763144512083,1.11967088884038e-05,1
"9606.ENSP00000215095",11,5.86307146511001e-05,2.89896536071224e-08,0
"9606.ENSP00000215115",1,1.61249288556244e-05,0,0
"9606.ENSP00000215368",28,7.20877044425395e-05,0,0
"9606.ENSP00000215375",26,9.16330503144716e-05,1.59443094839173e-07,0
"9606.ENSP00000215530",25,6.38589434366981e-05,0,0
"9606.ENSP00000215555",4,2.57376180669682e-05,3.47875843285469e-07,0
"9606.ENSP00000215565",58,0.000133460781477219,2.09558958512486e-05,10
"9606.ENSP00000215567",8,0.00011494229510709,0.000504472154140423,0
"9606.ENSP00000215570",10,7.23660534302574e-05,0.00017383645785511,0
"9606.ENSP00000215574",29,9.59194564643919e-05,4.60681832884185e-05,0
"9606.ENSP00000215587",242,0.000461764124881105,0.000221006412701639,0
"9606.ENSP00000215591",5,4.16533566229944e-05,7.102465133745e-07,0
"9606.ENSP00000215631",20,5.73352908362131e-05,1.37374721030751e-05,0
"9606.ENSP00000215637",4,2.36313864549402e-05,1.15233873088312e-06,1
"9606.ENSP00000215659",115,0.000293855973567968,0.000473928114936664,0
"9606.ENSP00000215727",2,1.83109937029647e-05,0,0
"9606.ENSP00000215730",36,0.000126423011839149,0.000516869821085956,0
"9606.ENSP00000215742",3,2.68463925360712e-05,1.24039480371475e-05,0
"9606.ENSP00000215743",7,3.22752408350442e-05,1.50746198757037e-06,0
"9606.ENSP00000215754",15,7.140354139628e-05,0.000379255825603652,0
"9606.ENSP00000215770",1,1.63975456137336e-05,0,0
"9606.ENSP00000215781",54,0.000100768383202979,2.03555990009639e-05,0
"9606.ENSP00000215793",119,0.000234016549240438,8.35164399769325e-05,0
"9606.ENSP00000215794",13,5.87240635673263e-05,0.000182769015663028,0
"9606.ENSP00000215829",153,0.000299431775860951,1.74542073240992e-05,0
"9606.ENSP00000215832",343,0.000841869320487411,0.00406677209577049,0
"9606.ENSP00000215838",3,3.28229686061733e-05,1.59443094839173e-07,0
"9606.ENSP00000215855",1,3.69705755366223e-05,0,0
"9606.ENSP00000215862",1,1.67700514392995e-05,0,0
"9606.ENSP00000215885",50,0.000115224697204101,4.16098875930652e-05,0
"9606.ENSP00000215904",4,3.95198726137221e-05,0,0
"9606.ENSP00000215909",15,7.2713364077193e-05,0.000981267161240787,0
"9606.ENSP00000215939",1,3.99886951364379e-05,0,0
"9606.ENSP00000215956",145,0.000278870395831465,0.000391330126140312,0
"9606.ENSP00000215957",3,3.3119123234949e-05,3.47875843285469e-07,0
"9606.ENSP00000215980",82,0.00014789774524897,0,0
"9606.ENSP00000216024",27,8.93616917406708e-05,1.48511579624821e-05,0
"9606.ENSP00000216029",11,3.82467860511304e-05,0,0
"9606.ENSP00000216034",28,0.000136780415754792,5.97512997909802e-05,0
"9606.ENSP00000216037",12,4.93462562604611e-05,3.8882372900553e-05,0
"9606.ENSP00000216038",6,6.35638091367941e-05,0.00017025623563463,0
"9606.ENSP00000216039",4,2.46379681069072e-05,4.39193252147905e-06,0
"9606.ENSP00000216044",16,5.01993222917679e-05,0,0
"9606.ENSP00000216068",32,9.51645874897665e-05,3.03316329886855e-05,0
"9606.ENSP00000216075",7,3.21276539722e-05,2.91346018751581e-06,0
"9606.ENSP00000216099",3,4.05729318104459e-05,0,0
"9606.ENSP00000216106",11,4.1439151330799e-05,2.89896536071224e-07,0
"9606.ENSP00000216115",6,3.25828612925129e-05,5.79793072142449e-08,0
"9606.ENSP00000216117",19,6.91031369770481e-05,1.45654890842286e-05,0
"9606.ENSP00000216121",2,2.44509798848745e-05,0,0
"9606.ENSP00000216122",54,0.000141733650784031,1.66690508240954e-05,0
"9606.ENSP00000216124",17,0.00010163384030144,9.86288410825988e-05,0
"9606.ENSP00000216127",2,1.44117672453233e-05,0,0
"9606.ENSP00000216129",19,7.17844786886675e-05,1.63429172210153e-06,0
"9606.ENSP00000216133",50,0.000115034539016555,6.2554694301951e-05,0
"9606.ENSP00000216139",2,2.52860734287582e-05,0,0
"9606.ENSP00000216160",58,0.00016369001359634,4.86446387527514e-05,0
"9606.ENSP00000216180",33,9.93816717102487e-05,1.03567158505784e-07,0
"9606.ENSP00000216181",52,0.000138513674350151,0.00042631242430892,0
"9606.ENSP00000216185",5,3.59887812306924e-05,1.84446671075317e-06,0
"9606.ENSP00000216187",2,2.38984707000166e-05,0,0
"9606.ENSP00000216190",108,0.000173505319157958,5.43556005133546e-06,0
"9606.ENSP00000216194",56,0.000145677382800184,0.000144030861319596,0
"9606.ENSP00000216218",5,2.64122080280178e-05,0,0
"9606.ENSP00000216223",131,0.00026874893415963,0.000133157952554554,5
"9606.ENSP00000216225",230,0.000587235796165748,0.00104914945334874,0
"9606.ENSP00000216237",7,2.90689162476739e-05,5.26162212969272e-06,0
"9606.ENSP00000216252",103,0.000186181295760636,4.59486009672891e-06,0
"9606.ENSP00000216254",9,4.61142588971335e-05,0.000105693861247101,0
"9606.ENSP00000216259",9,5.50329818948133e-05,2.53659469062321e-06,0
"9606.ENSP00000216264",22,7.84899546985177e-05,0,0
"9606.ENSP00000216267",9,4.69388366248497e-05,8.86721029707858e-06,0
"9606.ENSP00000216271",73,0.000191508808752189,4.31695199032646e-05,0
"9606.ENSP00000216274",15,5.8561240666876e-05,2.27170173078813e-05,0
"9606.ENSP00000216277",105,0.000190554273763424,4.61442811291372e-05,0
"9606.ENSP00000216286",4,2.27899426786222e-05,0,0
"9606.ENSP00000216294",25,5.89300752569988e-05,0,0
"9606.ENSP00000216297",69,0.000167602255621304,7.99897017154526e-05,0
"9606.ENSP00000216330",4,2.45692852046227e-05,0,0
"9606.ENSP00000216336",34,0.000144211343493233,0.000669140694437392,0
"9606.ENSP00000216341",30,9.2938274379411e-05,0.000157777397658998,0
"9606.ENSP00000216361",1,1.44038918520067e-05,0,0
"9606.ENSP00000216366",3,2.66783337973184e-05,0,0
"9606.ENSP00000216367",75,0.000179254666189793,8.33826998046866e-05,0
"9606.ENSP00000216373",114,0.000207852742110958,0.000162982107631994,0
"9606.ENSP00000216392",25,0.000104728115052982,6.55236233233997e-05,0
"9606.ENSP00000216410",10,5.98569908048378e-05,1.40599819994544e-06,0
"9606.ENSP00000216442",31,0.000106577032914887,4.86597140001088e-06,0
"9606.ENSP00000216452",9,6.95151231109605e-05,0,0
"9606.ENSP00000216455",132,0.000277946337930221,8.1785444421182e-05,1
"9606.ENSP00000216465",3,3.15963878315525e-05,0.000146116419304826,0
"9606.ENSP00000216479",7,3.78671000751295e-05,9.85648222642163e-07,0
"9606.ENSP00000216484",17,9.08539153121014e-05,0.0003075705615537,0
"9606.ENSP00000216487",3,2.32937414791853e-05,0,0
"9606.ENSP00000216492",3,2.48533297387203e-05,9.42163742231479e-06,0
"9606.ENSP00000216500",1,1.69109995895136e-05,0,0
"9606.ENSP00000216513",2,4.41422987079079e-05,4.34844804106837e-08,0
"9606.ENSP00000216540",3,3.25048285074626e-05,0,0
"9606.ENSP00000216554",101,0.000159111701489004,3.48600584625647e-06,0
"9606.ENSP00000216629",292,0.000261978267153476,4.1638496522844e-06,1
"9606.ENSP00000216639",9,4.42185154263685e-05,4.02956185139002e-06,0
"9606.ENSP00000216714",35,0.000113247302899015,0.000193013113716221,0
"9606.ENSP00000216727",108,0.000197197615049419,6.90636220611515e-05,0
"9606.ENSP00000216733",4,2.01691470423263e-05,0,0
"9606.ENSP00000216774",99,0.000151310137177042,2.17784772723507e-06,0
"9606.ENSP00000216775",1,1.66470891950999e-05,0,0
"9606.ENSP00000216780",4,2.4442391601734e-05,0,0
"9606.ENSP00000216797",130,0.000338295373770981,0.000823265697717451,0
"9606.ENSP00000216799",9,7.49897624257936e-05,0,0
"9606.ENSP00000216802",117,0.000234097561434952,5.98501358693893e-06,0
"9606.ENSP00000216807",5,2.5580003462417e-05,0,0
"9606.ENSP00000216832",9,3.52611108457655e-05,0.000124452582935377,0
"9606.ENSP00000216840",5,3.68661938027886e-05,7.46338632115367e-05,0
"9606.ENSP00000216862",2,4.04691623663364e-05,0.00017025623563463,0
"9606.ENSP00000216911",174,0.000407376621989068,0.000505366228993968,0
"9606.ENSP00000216951",44,0.00013118183020693,0.000392770055412093,0
"9606.ENSP00000216962",23,9.892141589032e-05,5.27717987662708e-05,0
"9606.ENSP00000216968",2,1.69205617187352e-05,1.44948268035612e-08,0
"9606.ENSP00000217026",34,9.67582113613422e-05,1.51217280628152e-05,0
"9606.ENSP00000217073",2,2.0316068126669e-05,0,0
"9606.ENSP00000217086",16,6.5466238191748e-05,2.78373148762393e-05,0
"9606.ENSP00000217109",107,0.00019546341584916,4.40015261404791e-05,0
"9606.ENSP00000217121",3,2.8202639670121e-05,1.44948268035612e-07,0
"9606.ENSP00000217131",5,3.70589175840048e-05,0.000159368204900688,0
"9606.ENSP00000217133",44,0.000125037402669836,2.04141516994655e-05,6
"9606.ENSP00000217159",1,1.6805288476853e-05,0,0
"9606.ENSP00000217169",10,3.98674350921602e-05,2.05826540610569e-06,0
"9606.ENSP00000217173",5,2.54505396686451e-05,1.44948268035612e-08,0
"9606.ENSP00000217182",6,3.41903073244583e-05,8.55194781410112e-07,0
"9606.ENSP00000217185",8,3.42218628474574e-05,1.39512707984277e-06,0
"9606.ENSP00000217233",26,7.38310176400355e-05,0.000132847503459106,0
"9606.ENSP00000217244",177,0.00059246587849062,0.00602472873982512,0
"9606.ENSP00000217260",11,4.9647165857699e-05,0,0
