"disease","uniprot.id"
"cardiac arrhythmia","P13945"
"cardiac arrhythmia","P03891"
"cardiac arrhythmia","Q9NR82"
"cardiac arrhythmia","P23975"
"cardiac arrhythmia","Q13748"
"cardiac arrhythmia","P04350"
"cardiac arrhythmia","Q13885"
"cardiac arrhythmia","Q9BVA1"
"cardiac arrhythmia","P62937"
"cardiac arrhythmia","Q9NY46"
"cardiac arrhythmia","P02708"
"cardiac arrhythmia","Q99250"
"cardiac arrhythmia","P35498"
"cardiac arrhythmia","P12821"
"cardiac arrhythmia","Q9P0J0"
"cardiac arrhythmia","Q9BUF5"
"cardiac arrhythmia","Q3ZCM7"
"cardiac arrhythmia","P00734"
"cardiac arrhythmia","P00742"
"cardiac arrhythmia","P48169"
"cardiac arrhythmia","P51168"
"cardiac arrhythmia","O75489"
"cardiac arrhythmia","Q01668"
"cardiac arrhythmia","Q9H4B7"
"cardiac arrhythmia","P11230"
"cardiac arrhythmia","Q6PEY2"
"cardiac arrhythmia","Q07001"
"cardiac arrhythmia","Q04844"
"cardiac arrhythmia","P23219"
"cardiac arrhythmia","P43304"
"cardiac arrhythmia","P00797"
"cardiac arrhythmia","O96000"
"cardiac arrhythmia","Q16795"
"cardiac arrhythmia","P28331"
"cardiac arrhythmia","O95169"
"cardiac arrhythmia","O75380"
"cardiac arrhythmia","P47901"
"cardiac arrhythmia","Q9UI33"
"cardiac arrhythmia","Q15858"
"cardiac arrhythmia","P03905"
"cardiac arrhythmia","O75306"
"cardiac arrhythmia","Q9NSA2"
"cardiac arrhythmia","O00483"
"cardiac arrhythmia","P01008"
"cardiac arrhythmia","P18825"
"cardiac arrhythmia","P48547"
"cardiac arrhythmia","P30559"
"cardiac arrhythmia","Q8TAE7"
"cardiac arrhythmia","Q9BQ31"
"cardiac arrhythmia","Q9UIX4"
"cardiac arrhythmia","Q9UJ96"
"cardiac arrhythmia","P49821"
"cardiac arrhythmia","P56181"
"cardiac arrhythmia","O43678"
"cardiac arrhythmia","Q9UI09"
"cardiac arrhythmia","Q16322"
"cardiac arrhythmia","Q8NCM2"
"cardiac arrhythmia","P51970"
"cardiac arrhythmia","O95139"
"cardiac arrhythmia","O43674"
"cardiac arrhythmia","O95182"
"cardiac arrhythmia","O00217"
"cardiac arrhythmia","P56556"
"cardiac arrhythmia","Q9Y6M9"
"cardiac arrhythmia","P03923"
"cardiac arrhythmia","O75251"
"cardiac arrhythmia","Q16718"
"cardiac arrhythmia","O75438"
"cardiac arrhythmia","P03886"
"cardiac arrhythmia","O95168"
"cardiac arrhythmia","P03915"
"cardiac arrhythmia","P14415"
"chronic obstructive pulmonary disease","Q14432"
"chronic obstructive pulmonary disease","O14920"
"chronic obstructive pulmonary disease","Q8NER1"
"chronic obstructive pulmonary disease","P13569"
"chronic obstructive pulmonary disease","P06213"
"chronic obstructive pulmonary disease","P11473"
"chronic obstructive pulmonary disease","Q13705"
"chronic obstructive pulmonary disease","P14416"
"chronic obstructive pulmonary disease","P16109"
"chronic obstructive pulmonary disease","P11229"
"chronic obstructive pulmonary disease","O00329"
"chronic obstructive pulmonary disease","Q08499"
"chronic obstructive pulmonary disease","Q16539"
"chronic obstructive pulmonary disease","P07550"
"chronic obstructive pulmonary disease","Q9Y375"
"chronic obstructive pulmonary disease","P25025"
"chronic obstructive pulmonary disease","P25024"
"chronic obstructive pulmonary disease","P25101"
"chronic obstructive pulmonary disease","P30542"
"chronic obstructive pulmonary disease","Q15722"
"chronic obstructive pulmonary disease","P04150"
"chronic obstructive pulmonary disease","P35372"
"chronic obstructive pulmonary disease","P35354"
"chronic obstructive pulmonary disease","P24530"
"chronic obstructive pulmonary disease","P20309"
"chronic obstructive pulmonary disease","P01584"
"chronic obstructive pulmonary disease","P43119"
"chronic obstructive pulmonary disease","P08172"
"chronic obstructive pulmonary disease","P35462"
"chronic obstructive pulmonary disease","Q15759"
"chronic obstructive pulmonary disease","P14151"
"chronic obstructive pulmonary disease","Q13370"
"chronic obstructive pulmonary disease","P27815"
"chronic obstructive pulmonary disease","P08588"
"chronic obstructive pulmonary disease","Q08493"
"chronic obstructive pulmonary disease","Q07343"
"chronic obstructive pulmonary disease","P09917"
"chronic obstructive pulmonary disease","O43181"
"chronic obstructive pulmonary disease","P04035"
"chronic obstructive pulmonary disease","P29274"
"chronic obstructive pulmonary disease","P36544"
"chronic obstructive pulmonary disease","Q9Y3Q4"
"chronic obstructive pulmonary disease","P19404"
"chronic obstructive pulmonary disease","P21917"
"chronic obstructive pulmonary disease","P03891"
"chronic obstructive pulmonary disease","P28223"
"chronic obstructive pulmonary disease","P28335"
"chronic obstructive pulmonary disease","P03956"
"chronic obstructive pulmonary disease","P16581"
"chronic obstructive pulmonary disease","P06401"
"chronic obstructive pulmonary disease","P62937"
"chronic obstructive pulmonary disease","P12821"
"chronic obstructive pulmonary disease","Q9P0J0"
"chronic obstructive pulmonary disease","Q01344"
"chronic obstructive pulmonary disease","P41597"
"chronic obstructive pulmonary disease","P32246"
"chronic obstructive pulmonary disease","P22894"
"chronic obstructive pulmonary disease","P35225"
"chronic obstructive pulmonary disease","O75489"
"chronic obstructive pulmonary disease","P09237"
"chronic obstructive pulmonary disease","P05113"
"chronic obstructive pulmonary disease","P45452"
"chronic obstructive pulmonary disease","P00918"
"chronic obstructive pulmonary disease","P23219"
"chronic obstructive pulmonary disease","P43304"
"chronic obstructive pulmonary disease","O96000"
"chronic obstructive pulmonary disease","Q16795"
"chronic obstructive pulmonary disease","P28331"
"chronic obstructive pulmonary disease","P43681"
"chronic obstructive pulmonary disease","O95169"
"chronic obstructive pulmonary disease","O75380"
"chronic obstructive pulmonary disease","P25103"
"chronic obstructive pulmonary disease","P03905"
"chronic obstructive pulmonary disease","O75306"
"chronic obstructive pulmonary disease","O00483"
"chronic obstructive pulmonary disease","Q02643"
"chronic obstructive pulmonary disease","P22748"
"chronic obstructive pulmonary disease","P49821"
"chronic obstructive pulmonary disease","P56181"
"chronic obstructive pulmonary disease","O43678"
"chronic obstructive pulmonary disease","Q9UI09"
"chronic obstructive pulmonary disease","P51970"
"chronic obstructive pulmonary disease","O95139"
"chronic obstructive pulmonary disease","O43674"
"chronic obstructive pulmonary disease","O95182"
"chronic obstructive pulmonary disease","O00217"
"chronic obstructive pulmonary disease","Q9Y5Y4"
"chronic obstructive pulmonary disease","P56556"
"chronic obstructive pulmonary disease","Q9Y6M9"
"chronic obstructive pulmonary disease","P03923"
"chronic obstructive pulmonary disease","O75251"
"chronic obstructive pulmonary disease","P30926"
"chronic obstructive pulmonary disease","P32297"
"chronic obstructive pulmonary disease","Q16718"
"chronic obstructive pulmonary disease","O75438"
"chronic obstructive pulmonary disease","P03886"
"chronic obstructive pulmonary disease","O95168"
"chronic obstructive pulmonary disease","P03915"
"chronic obstructive pulmonary disease","P01854"
"chronic obstructive pulmonary disease","P17787"
"coronary heart disease","Q14432"
"coronary heart disease","P07437"
"coronary heart disease","P68371"
"coronary heart disease","Q71U36"
"coronary heart disease","P68366"
"coronary heart disease","P62942"
"coronary heart disease","P00374"
"coronary heart disease","P37088"
"coronary heart disease","P10275"
"coronary heart disease","Q13224"
"coronary heart disease","Q05586"
"coronary heart disease","Q07869"
"coronary heart disease","P08913"
"coronary heart disease","O15399"
"coronary heart disease","P18505"
"coronary heart disease","P47870"
"coronary heart disease","P18507"
"coronary heart disease","P37231"
"coronary heart disease","P08235"
"coronary heart disease","O76074"
"coronary heart disease","P31645"
"coronary heart disease","Q13509"
"coronary heart disease","P51170"
"coronary heart disease","Q13936"
"coronary heart disease","Q08499"
"coronary heart disease","P07550"
"coronary heart disease","Q9Y375"
"coronary heart disease","P68363"
"coronary heart disease","P25116"
"coronary heart disease","P30542"
"coronary heart disease","P18089"
"coronary heart disease","Q9H244"
"coronary heart disease","Q13698"
"coronary heart disease","P04150"
"coronary heart disease","P35372"
"coronary heart disease","Q12879"
"coronary heart disease","Q8TCU5"
"coronary heart disease","P35354"
"coronary heart disease","P19235"
"coronary heart disease","Q9HBX9"
"coronary heart disease","P14324"
"coronary heart disease","P47989"
"coronary heart disease","P08514"
"coronary heart disease","P06756"
"coronary heart disease","P35499"
"coronary heart disease","Q14524"
"coronary heart disease","P21728"
"coronary heart disease","P30556"
"coronary heart disease","Q9BQE3"
"coronary heart disease","P23415"
"coronary heart disease","P14867"
"coronary heart disease","P00747"
"coronary heart disease","Q01064"
"coronary heart disease","P54750"
"coronary heart disease","Q14123"
"coronary heart disease","O14649"
"coronary heart disease","O43924"
"coronary heart disease","Q13370"
"coronary heart disease","P27815"
"coronary heart disease","P08588"
"coronary heart disease","Q9Y233"
"coronary heart disease","Q08493"
"coronary heart disease","Q9NPC2"
"coronary heart disease","Q07343"
"coronary heart disease","P00439"
"coronary heart disease","O43181"
"coronary heart disease","P04035"
"coronary heart disease","P29274"
"coronary heart disease","P18545"
"coronary heart disease","P48167"
"coronary heart disease","P05106"
"coronary heart disease","Q9Y3Q4"
"coronary heart disease","P19404"
"coronary heart disease","Q02153"
"coronary heart disease","P03891"
"coronary heart disease","P34995"
"coronary heart disease","Q13748"
"coronary heart disease","P04350"
"coronary heart disease","Q13885"
"coronary heart disease","Q9BVA1"
"coronary heart disease","Q9NYK1"
"coronary heart disease","Q9NR96"
"coronary heart disease","P12821"
"coronary heart disease","Q9P0J0"
"coronary heart disease","Q99808"
"coronary heart disease","Q9BUF5"
"coronary heart disease","Q3ZCM7"
"coronary heart disease","P00734"
"coronary heart disease","P48169"
"coronary heart disease","P51168"
"coronary heart disease","P14555"
"coronary heart disease","Q7Z418"
"coronary heart disease","O75489"
"coronary heart disease","O60658"
"coronary heart disease","Q01668"
"coronary heart disease","Q9H4B7"
"coronary heart disease","Q6PEY2"
"coronary heart disease","P23219"
"coronary heart disease","P43304"
"coronary heart disease","P00797"
"coronary heart disease","O96000"
"coronary heart disease","P11597"
"coronary heart disease","Q8NBP7"
"coronary heart disease","Q16795"
"coronary heart disease","P28331"
"coronary heart disease","Q13946"
"coronary heart disease","P43681"
"coronary heart disease","P33402"
"coronary heart disease","Q14957"
"coronary heart disease","O95169"
"coronary heart disease","O75380"
"coronary heart disease","P43116"
"coronary heart disease","P03905"
"coronary heart disease","O75306"
"coronary heart disease","O00408"
"coronary heart disease","O00483"
"coronary heart disease","P01008"
"coronary heart disease","P43220"
"coronary heart disease","Q8WXD0"
"coronary heart disease","P18825"
"coronary heart disease","O60391"
"coronary heart disease","P00740"
"coronary heart disease","P49821"
"coronary heart disease","P56181"
"coronary heart disease","Q02108"
"coronary heart disease","O43678"
"coronary heart disease","Q9UI09"
"coronary heart disease","P51970"
"coronary heart disease","O95139"
"coronary heart disease","O43674"
"coronary heart disease","O95182"
"coronary heart disease","O00217"
"coronary heart disease","P56556"
"coronary heart disease","Q9Y6M9"
"coronary heart disease","P03923"
"coronary heart disease","O75251"
"coronary heart disease","Q16718"
"coronary heart disease","O75438"
"coronary heart disease","P03886"
"coronary heart disease","O95168"
"coronary heart disease","P03915"
"coronary heart disease","P17787"
"drug dependence","P12931"
"drug dependence","Q8NER1"
"drug dependence","Q13224"
"drug dependence","Q05586"
"drug dependence","Q07869"
"drug dependence","P06213"
"drug dependence","P41143"
"drug dependence","P08913"
"drug dependence","P42261"
"drug dependence","P48058"
"drug dependence","O15399"
"drug dependence","P18505"
"drug dependence","P47870"
"drug dependence","P18507"
"drug dependence","P37231"
"drug dependence","P14416"
"drug dependence","P08908"
"drug dependence","P35367"
"drug dependence","P31645"
"drug dependence","P00519"
